time (sec), voltage (V)
0.249, -0.82
0.251, -0.67
0.351, -0.17
0.353, -0.44
0.450, -0.79
0.452, -0.36
0.554, -0.76
0.554, -0.80
0.649, -0.74
0.651, -0.64
0.753, -0.60
0.753, -0.76
0.849, -0.79
0.852, -0.36
0.952, -0.27
0.952, -0.45
0.954, -0.88
0.956, -1.12
1.051, -0.64
1.053, -0.11
1.152, -0.43
1.153, -0.56
1.251, -0.55
1.252, -0.33
1.351, -0.21
1.352, -0.49
1.449, -0.83
1.450, -0.80
1.452, -0.46
1.453, -0.12
1.553, -0.67
1.555, -0.92
1.649, -0.76
1.651, -0.53
1.754, -0.85
1.756, -1.10
1.850, -0.59
1.853, -0.09
1.951, -0.21
1.954, -1.01
2.049, -0.80
2.051, -0.60
2.152, -0.42
2.153, -0.69
2.351, -0.22
2.355, -0.87
2.451, -0.63
2.453, -0.12
2.553, -0.47
2.553, -0.50
2.649, -0.76
2.652, -0.32
2.751, -0.23
2.755, -0.93
2.952, -0.42
2.953, -0.69
2.955, -0.87
2.956, -1.09
3.049, -0.79
3.052, -0.30
3.153, -0.63
3.155, -0.98
3.249, -0.80
3.250, -0.80
3.352, -0.29
3.356, -1.12
3.451, -0.61
3.453, -0.10
3.649, -0.81
3.651, -0.67
3.652, -0.34
3.653, -0.13
3.752, -0.45
3.754, -0.78
3.755, -1.06
3.756, -1.13
3.849, -0.74
3.852, -0.20
3.951, -0.19
3.953, -0.63
4.049, -0.80
4.051, -0.64
4.154, -0.73
4.156, -1.10
4.251, -0.57
4.253, -0.09
4.353, -0.52
4.353, -0.75
4.450, -0.61
4.453, -0.13
4.652, -0.31
4.652, -0.26
4.753, -0.45
4.753, -0.66
4.850, -0.59
4.853, -0.13
4.951, -0.19
4.952, -0.38
5.050, -0.60
5.052, -0.35
5.152, -0.45
5.154, -0.66
5.154, -0.89
5.156, -1.13
5.250, -0.62
5.253, -0.14
5.449, -0.78
5.453, -0.10
5.552, -0.22
5.553, -0.71
5.555, -0.89
5.556, -1.09
5.651, -0.53
5.652, -0.29
5.849, -0.77
5.853, -0.13
5.953, -0.64
5.955, -0.89
