time (sec), current (uA)
0.063, 1.80
0.140, -4.18
0.263, -1.81
0.340, -2.91
0.463, -2.08
0.540, -2.84
0.663, -1.30
0.740, 0.53
0.863, 1.60
0.940, -0.09
1.063, -2.23
1.140, -3.03
1.263, -2.64
1.340, -4.89
1.463, -0.25
1.540, -0.26
1.663, -0.09
1.740, -2.61
1.863, -0.25
1.940, -0.51
2.063, -1.21
2.140, -1.18
2.263, -0.89
2.340, 3.12
2.463, -1.78
2.540, 2.15
2.663, -0.18
2.740, -2.57
2.863, 0.59
2.940, 2.79
3.063, -2.23
3.140, -1.65
3.263, 0.04
3.340, 1.39
3.463, -0.83
3.540, -2.16
3.663, -1.39
3.740, -3.61
3.863, -2.33
3.940, -1.02
4.063, -0.62
4.140, 1.20
4.263, 0.34
4.340, -0.08
4.463, -0.45
4.540, -0.54
4.663, -1.51
4.740, -0.33
4.863, -2.54
4.940, -3.75
5.063, 0.68
5.140, 1.34
5.263, -0.53
5.340, 3.11
5.463, -2.87
5.540, -3.10
5.663, 0.75
5.740, 0.97
5.863, 0.45
5.940, 1.80
6.063, -2.45
6.140, -1.05
6.263, -1.59
6.340, -4.67
6.463, -0.70
6.540, -1.74
6.663, 0.83
6.740, 3.85
6.863, 1.57
6.940, -1.19
7.063, 0.85
7.140, 56.55
7.263, 63.84
7.340, 58.48
7.463, 64.86
7.540, 67.89
7.663, 67.81
7.740, 63.07
7.863, 63.11
7.940, 64.62
8.063, 63.36
8.140, 72.33
8.263, 69.97
8.340, 66.45
8.463, 66.05
8.540, 71.83
8.663, 64.81
8.740, 63.63
8.863, 66.20
8.940, 63.22
9.063, 66.93
9.140, 68.53
9.263, 70.37
9.340, 75.73
9.463, 66.32
9.540, 63.68
9.663, 67.87
9.740, 68.99
9.863, 73.31
9.940, 73.68
10.063, 67.10
10.140, 69.94
10.263, 69.84
10.340, 70.56
10.463, 70.26
10.540, 72.63
10.663, 66.39
10.740, 73.73
10.863, 70.71
10.940, 71.53
11.063, 75.69
11.140, 68.10
11.263, 69.89
11.340, 67.56
11.463, 69.84
11.540, 69.27
11.663, 72.42
11.740, 68.20
11.863, 75.42
11.940, 69.56
12.063, 69.50
12.140, 69.56
12.263, 72.81
12.340, 73.45
12.463, 71.54
12.540, 70.90
12.663, 72.93
12.740, 68.09
12.863, 71.07
12.940, 70.72
13.063, 70.80
13.140, 70.55
13.263, 69.46
13.340, 68.11
13.463, 72.80
13.540, 65.03
13.663, 72.72
13.740, 71.17
13.863, 70.71
13.940, 74.53
14.063, 71.49
14.140, 72.40
14.263, 72.41
14.340, 73.06
14.463, 71.80
14.540, 74.24
14.663, 68.44
14.740, 66.69
14.863, 71.32
14.940, 70.44
15.063, 69.70
15.140, 69.94
15.263, 74.70
15.340, 76.93
15.463, 75.69
15.540, 70.59
15.663, 72.46
15.740, 73.89
15.863, 73.54
15.940, 76.08
16.063, 70.91
16.140, 77.71
16.263, 72.68
16.340, 73.55
16.463, 69.25
16.540, 75.82
16.663, 69.86
16.740, 78.16
16.863, 69.95
16.940, 68.44
17.063, 75.36
17.140, 76.98
17.263, 70.28
17.340, 76.39
17.463, 71.80
17.540, 68.57
17.663, 67.84
17.740, 66.86
17.863, 70.57
17.940, 73.49
18.063, 72.82
18.140, 74.70
18.263, 72.13
18.340, 74.97
18.463, 74.71
18.540, 79.91
18.663, 73.77
18.740, 76.62
18.863, 74.65
18.940, 80.67
19.063, 74.85
19.140, 76.56
19.263, 69.20
19.340, 73.92
19.463, 72.20
19.540, 81.56
19.663, 72.71
19.740, 80.06
19.863, 70.91
19.940, 72.73
20.063, 73.08
20.140, 75.00
20.263, 71.00
20.340, 75.89
20.463, 70.78
20.540, 74.75
20.663, 73.73
20.740, 74.21
20.863, 74.37
20.940, 77.58
21.063, 71.59
21.140, 76.98
21.263, 72.59
21.340, 77.74
21.463, 73.27
21.540, 79.54
21.663, 76.06
21.740, 74.74
21.863, 71.57
21.940, 68.06
22.063, 73.54
22.140, 73.88
22.263, 74.36
22.340, 74.10
22.463, 71.46
22.540, 74.30
22.663, 71.83
22.740, 76.18
22.863, 74.23
22.940, 78.20
23.063, 71.69
23.140, 73.59
23.263, 76.52
23.340, 73.94
23.463, 72.66
23.540, 69.49
23.663, 74.74
23.740, 77.86
23.863, 74.04
23.940, 69.65
24.063, 73.10
24.140, 71.43
24.263, 77.29
24.340, 74.83
24.463, 73.96
24.540, 69.65
24.663, 71.97
24.740, 72.39
24.863, 75.82
24.940, 70.81
25.063, 72.62
25.140, 75.03
25.263, 76.02
25.340, 72.03
25.463, 71.23
25.540, 72.69
25.663, 75.41
25.740, 78.47
25.863, 73.00
25.940, 68.73
26.063, 71.83
26.140, 74.81
26.263, 71.19
26.340, 78.00
26.463, 78.89
26.540, 74.75
26.663, 74.15
26.740, 72.00
26.863, 75.31
26.940, 74.57
27.063, 73.56
27.140, 78.00
27.263, 75.11
27.340, 73.19
27.463, 76.63
27.540, 74.06
27.663, 73.05
27.740, 72.80
27.863, 72.69
27.940, 69.40
28.063, 73.31
28.140, 76.12
28.263, 72.07
28.340, 70.99
28.463, 74.13
28.540, 77.45
28.663, 76.98
28.740, 77.47
28.863, 72.87
28.940, 75.41
29.063, 73.49
29.140, 74.03
29.263, 75.82
29.340, 77.41
29.463, 75.44
29.540, 80.83
29.663, 79.42
29.740, 77.91
29.863, 74.86
29.940, 73.02
30.063, 73.78
30.140, 77.08
30.263, 78.04
30.340, 76.56
30.463, 74.23
30.540, 81.87
30.663, 75.22
30.740, 78.25
30.863, 76.09
30.940, 72.46
31.063, 73.54
31.140, 78.64
31.263, 74.93
31.340, 76.84
31.463, 72.95
31.540, 73.02
31.663, 73.89
31.740, 75.97
31.863, 78.71
31.940, 77.60
32.063, 74.11
32.140, 75.74
32.263, 76.85
32.340, 77.81
32.463, 73.64
32.540, 76.28
32.663, 78.52
32.740, 79.77
32.863, 76.38
32.940, 77.56
33.063, 73.44
33.140, 78.31
33.263, 71.89
33.340, 71.36
33.463, 71.91
33.540, 81.06
33.663, 77.91
33.740, 78.08
33.863, 71.23
33.940, 73.05
34.063, 73.99
34.140, 73.13
34.263, 71.55
34.340, 75.09
34.463, 76.08
34.540, 75.47
34.663, 75.20
34.740, 81.14
34.863, 78.00
34.940, 78.49
35.063, 77.90
35.140, 77.80
35.263, 75.89
35.340, 75.61
35.463, 72.16
35.540, 72.16
35.663, 78.08
35.740, 78.09
35.863, 76.83
35.940, 76.53
36.063, 75.64
36.140, 82.91
36.263, 77.51
36.340, 78.32
36.463, 78.24
36.540, 75.27
36.663, 81.16
36.740, 83.59
36.863, 85.53
36.940, 78.60
37.063, 77.50
37.140, 79.14
