time (sec), voltage (V)
0.049, -0.83
0.051, -0.65
0.052, -0.29
0.052, -0.22
0.152, -0.42
0.153, -0.75
0.155, -1.00
0.155, -1.08
0.249, -0.82
0.252, -0.28
0.355, -0.99
0.356, -1.11
0.450, -0.71
0.452, -0.25
0.552, -0.46
0.554, -0.83
0.555, -0.97
0.556, -1.08
0.649, -0.73
0.651, -0.50
0.751, -0.23
0.754, -0.85
0.849, -0.82
0.851, -0.63
0.954, -0.77
0.955, -1.06
1.152, -0.38
1.154, -0.82
1.449, -0.83
1.452, -0.32
1.551, -0.21
1.553, -0.77
1.650, -0.62
1.650, -0.59
1.753, -0.46
1.754, -0.94
1.851, -0.54
1.852, -0.33
1.952, -0.44
1.954, -0.81
2.052, -0.28
2.052, -0.26
2.154, -0.75
2.155, -0.92
2.251, -0.57
2.252, -0.23
2.354, -0.97
2.356, -1.14
2.451, -0.54
2.451, -0.45
2.553, -0.52
2.555, -0.95
2.649, -0.81
2.653, -0.13
2.752, -0.45
2.753, -0.71
2.755, -0.92
2.756, -1.10
2.850, -0.53
2.853, -0.12
2.952, -0.25
2.952, -0.36
2.955, -0.89
2.956, -1.09
3.153, -0.70
3.155, -0.99
3.252, -0.32
3.253, -0.14
3.449, -0.74
3.453, -0.14
3.752, -0.45
3.753, -0.63
3.755, -0.90
3.756, -1.07
3.849, -0.80
3.851, -0.65
3.852, -0.32
3.852, -0.16
3.951, -0.22
3.953, -0.64
4.050, -0.72
4.050, -0.63
4.052, -0.28
4.052, -0.27
4.153, -0.75
4.156, -1.18
4.249, -0.79
4.251, -0.56
4.353, -0.58
4.355, -1.06
4.450, -0.59
4.452, -0.24
4.527, 4.54
4.542, 1.62
4.552, -0.48
4.554, -1.00
4.650, -0.59
4.652, -0.32
4.660, 1.30
4.745, 1.10
4.752, -0.47
4.753, -0.71
4.849, -0.75
4.853, -0.13
4.858, 0.98
4.945, 1.09
4.951, -0.23
4.954, -0.92
5.059, 1.17
5.144, 1.17
5.151, -0.21
5.156, -1.10
5.250, -0.58
5.252, -0.36
5.259, 1.17
5.345, 1.12
5.449, -0.70
5.450, -0.53
5.459, 1.26
5.544, 1.18
5.552, -0.24
5.553, -0.61
5.649, -0.83
5.653, -0.11
5.659, 1.16
5.744, 1.28
5.752, -0.29
5.752, -0.37
5.755, -1.00
5.756, -1.18
5.851, -0.45
5.851, -0.44
5.860, 1.27
5.944, 1.13
5.953, -0.46
5.953, -0.55
6.050, -0.54
6.052, -0.33
6.060, 1.28
6.144, 1.27
6.152, -0.44
6.153, -0.67
6.250, -0.52
6.252, -0.30
6.259, 1.26
6.344, 1.27
6.351, -0.22
6.352, -0.56
6.449, -0.71
6.450, -0.60
6.452, -0.33
6.453, -0.13
6.459, 1.11
6.544, 1.16
6.553, -0.57
6.553, -0.68
6.659, 1.17
6.744, 1.24
6.752, -0.46
6.754, -0.90
6.852, -0.31
6.852, -0.17
6.858, 1.06
6.945, 1.13
6.952, -0.31
6.952, -0.45
6.954, -0.86
6.955, -1.04
7.050, -0.58
7.052, -0.36
7.059, 1.11
7.144, 1.16
7.151, -0.23
7.152, -0.49
7.155, -1.04
7.156, -1.15
7.259, 1.21
7.345, 1.13
7.351, -0.17
7.352, -0.42
7.449, -0.75
7.450, -0.61
7.459, 1.12
7.545, 1.07
7.551, -0.25
7.553, -0.63
7.649, -0.83
7.651, -0.59
7.659, 1.10
7.745, 1.05
7.751, -0.20
7.753, -0.59
7.755, -1.02
7.755, -1.10
7.850, -0.59
7.852, -0.35
7.859, 1.20
7.945, 0.98
7.952, -0.51
7.953, -0.80
8.059, 1.25
8.145, 1.12
8.152, -0.47
8.153, -0.77
8.155, -0.90
8.156, -1.10
8.259, 1.21
8.345, 0.99
8.355, -0.91
8.356, -1.11
8.458, 1.03
8.545, 1.13
8.553, -0.84
8.555, -1.09
