time (sec), current (uA)
0.063, -2.76
0.140, 1.65
0.263, -3.53
0.340, 0.46
0.463, -3.47
0.540, 4.28
0.663, -0.14
0.740, -0.03
0.863, -3.35
0.940, -5.78
1.063, -2.59
1.140, 1.59
1.263, -0.60
1.340, 5.02
1.463, -3.82
1.540, -3.53
1.663, 2.38
1.740, 1.74
1.863, -1.22
1.940, 1.24
2.063, -3.94
2.140, -5.09
2.263, -2.36
2.340, -2.26
2.463, 1.78
2.540, 6.37
2.663, -1.01
2.740, 1.84
2.863, -0.98
2.940, 1.56
3.063, 0.62
3.140, 6.34
3.263, -1.32
3.340, -0.01
3.463, -2.90
3.540, 6.54
3.663, -2.64
3.740, -0.27
3.863, -3.13
3.940, 0.93
4.063, 0.85
4.140, 2.65
4.263, -3.35
4.340, 1.02
4.463, 0.83
4.540, 28.32
4.663, 39.79
4.740, 44.84
4.863, 41.96
4.940, 49.63
5.063, 45.62
5.140, 39.75
5.263, 43.39
5.340, 46.92
5.463, 45.24
5.540, 45.91
5.663, 44.55
5.740, 51.60
5.863, 43.63
5.940, 40.28
6.063, 48.36
6.140, 42.26
6.263, 43.80
6.340, 52.00
6.463, 43.05
6.540, 39.44
6.663, 48.01
6.740, 50.98
6.863, 48.12
6.940, 55.31
7.063, 44.57
7.140, 44.99
7.263, 46.22
7.340, 48.81
7.463, 43.17
7.540, 44.53
7.663, 48.01
7.740, 50.77
7.863, 45.14
7.940, 43.97
8.063, 51.00
8.140, 50.41
8.263, 46.73
8.340, 46.29
8.463, 50.45
8.540, 50.31
8.663, 48.71
8.740, 49.99
8.863, 48.04
8.940, 45.10
9.063, 46.30
9.140, 49.80
9.263, 45.80
9.340, 43.74
9.463, 44.45
9.540, 46.43
9.663, 49.12
9.740, 48.34
9.863, 47.41
9.940, 48.44
10.063, 47.19
10.140, 43.54
10.263, 51.50
10.340, 47.57
10.463, 49.15
10.540, 46.48
10.663, 52.06
10.740, 52.35
10.863, 46.95
10.940, 45.21
11.063, 54.10
11.140, 48.44
11.263, 51.94
11.340, 49.03
11.463, 44.24
11.540, 45.29
11.663, 50.19
11.740, 45.90
11.863, 44.66
11.940, 47.66
12.063, 49.56
12.140, 51.04
12.263, 52.44
12.340, 50.80
12.463, 51.46
12.540, 44.18
12.663, 48.40
12.740, 48.94
12.863, 48.71
12.940, 47.66
13.063, 50.48
13.140, 49.47
13.263, 50.64
13.340, 48.28
13.463, 46.38
13.540, 47.09
13.663, 52.36
13.740, 52.44
13.863, 44.60
13.940, 46.49
14.063, 53.09
14.140, 50.57
14.263, 46.50
14.340, 50.76
14.463, 50.42
14.540, 50.49
14.663, 53.36
14.740, 50.06
14.863, 49.74
14.940, 51.49
15.063, 47.03
15.140, 46.07
15.263, 45.82
15.340, 48.34
15.463, 52.86
15.540, 45.29
15.663, 51.14
15.740, 53.61
15.863, 51.97
15.940, 47.81
16.063, 47.91
16.140, 45.08
16.263, 47.74
16.340, 48.02
16.463, 50.87
16.540, 46.61
16.663, 52.70
16.740, 51.18
16.863, 48.36
16.940, 51.88
17.063, 52.42
17.140, 48.48
17.263, 47.19
17.340, 50.30
17.463, 48.29
17.540, 49.22
17.663, 53.92
17.740, 45.21
17.863, 46.40
17.940, 51.74
18.063, 51.34
18.140, 49.61
18.263, 46.78
18.340, 49.80
18.463, 53.36
18.540, 47.16
18.663, 54.43
18.740, 46.62
18.863, 53.60
18.940, 47.49
19.063, 47.02
19.140, 49.12
19.263, 51.82
19.340, 47.41
19.463, 49.84
19.540, 51.37
19.663, 50.51
19.740, 51.46
19.863, 54.40
19.940, 46.49
20.063, 48.37
20.140, 53.31
20.263, 51.14
20.340, 55.28
20.463, 47.01
20.540, 51.66
20.663, 48.05
20.740, 54.50
20.863, 55.11
20.940, 50.70
21.063, 50.93
21.140, 50.84
21.263, 46.50
21.340, 54.39
21.463, 46.29
21.540, 51.90
21.663, 48.92
21.740, 52.24
