time (sec), voltage (V)
0.049, -0.73
0.051, -0.68
0.155, -1.06
0.156, -1.16
0.251, -0.51
0.251, -0.46
0.354, -0.99
0.356, -1.18
0.450, -0.57
0.452, -0.35
0.554, -1.00
0.554, -1.08
0.753, -0.73
0.755, -0.92
0.851, -0.49
0.851, -0.36
0.952, -0.36
0.952, -0.42
1.151, -0.22
1.153, -0.68
1.249, -0.75
1.251, -0.70
1.352, -0.25
1.353, -0.62
1.354, -1.05
1.356, -1.16
1.451, -0.47
1.453, -0.14
1.552, -0.38
1.554, -0.64
1.555, -1.23
1.555, -1.25
1.652, -0.30
1.652, -0.16
1.850, -0.83
1.850, -0.84
1.951, -0.20
1.954, -0.96
1.954, -1.11
1.956, -1.19
2.151, -0.21
2.155, -1.00
2.249, -0.81
2.250, -0.68
2.252, -0.31
2.252, -0.14
2.352, -0.45
2.354, -0.74
2.449, -0.76
2.451, -0.66
2.553, -0.74
2.555, -0.99
2.651, -0.65
2.652, -0.29
2.752, -0.46
2.753, -0.67
2.754, -0.95
2.756, -1.19
2.852, -0.31
2.853, -0.13
2.952, -0.28
2.952, -0.30
3.154, -0.73
3.155, -0.95
3.251, -0.56
3.251, -0.47
3.351, -0.19
3.352, -0.39
3.452, -0.35
3.452, -0.17
3.552, -0.24
3.552, -0.30
3.652, -0.33
3.652, -0.19
3.751, -0.19
3.752, -0.39
3.754, -1.04
3.754, -1.04
3.850, -0.57
3.852, -0.13
3.862, 1.67
3.942, 1.55
3.955, -0.98
3.955, -1.07
4.058, 0.90
4.146, 0.88
4.152, -0.47
4.154, -0.87
4.251, -0.44
4.251, -0.36
4.260, 1.27
4.345, 0.96
4.352, -0.24
4.352, -0.32
4.451, -0.48
4.453, -0.13
4.458, 0.95
4.545, 1.09
4.551, -0.19
4.553, -0.49
4.553, -0.60
4.554, -1.03
4.649, -0.81
4.651, -0.71
4.659, 1.16
4.745, 1.00
4.752, -0.45
4.754, -0.85
4.849, -0.77
4.852, -0.34
4.859, 1.11
4.946, 0.93
4.952, -0.38
4.955, -1.16
5.052, -0.36
5.053, -0.12
5.058, 1.00
