time (sec), current (uA)
0.000, -4.61
0.063, 3.69
0.140, -5.36
0.263, 2.91
0.340, -4.80
0.463, 1.37
0.540, -0.99
0.663, 3.47
0.740, -2.23
0.863, -3.17
0.940, 0.29
1.063, 2.37
1.140, 2.03
1.263, 2.75
1.340, -3.00
1.463, -2.44
1.540, -1.46
1.663, 1.84
1.740, -0.25
1.863, -1.74
1.940, 2.75
2.063, -0.75
2.140, -1.09
2.263, -1.25
2.340, -0.17
2.463, 0.76
2.540, -3.83
2.663, 3.96
2.740, -3.05
2.863, 3.64
2.940, -3.70
3.063, -3.05
3.140, 1.61
3.263, 1.14
3.340, 3.32
3.463, 3.48
3.540, -2.85
3.663, -1.31
3.740, 0.61
3.863, 35.17
3.940, 42.14
4.063, 52.15
4.140, 53.36
4.263, 47.93
4.340, 47.85
4.463, 51.40
4.540, 45.12
4.663, 51.23
4.740, 49.27
4.863, 47.39
4.940, 42.98
5.063, 47.23
5.140, 47.34
5.263, 45.78
5.340, 47.21
5.463, 46.80
5.540, 44.06
5.663, 48.73
5.740, 48.37
5.863, 47.98
5.940, 48.27
6.063, 51.62
6.140, 50.33
6.263, 51.71
6.340, 48.89
6.463, 55.08
6.540, 51.31
6.663, 49.46
6.740, 51.71
6.863, 47.54
6.940, 45.01
7.063, 47.99
7.140, 47.52
7.263, 46.44
7.340, 46.55
7.463, 47.78
7.540, 46.77
7.663, 48.45
7.740, 47.29
7.863, 52.07
7.940, 49.54
8.063, 48.08
8.140, 49.39
8.263, 50.12
8.340, 49.14
8.463, 51.22
8.540, 50.00
8.663, 53.60
8.740, 51.43
8.863, 52.55
8.940, 55.69
9.063, 55.35
9.140, 45.35
9.263, 50.49
9.340, 53.90
9.463, 53.55
9.540, 52.22
9.663, 55.89
9.740, 53.77
9.863, 51.96
9.940, 50.56
10.063, 52.77
10.140, 48.96
10.263, 49.35
10.340, 48.12
10.463, 52.98
10.540, 47.96
10.663, 53.97
10.740, 54.28
10.863, 51.08
10.940, 46.84
11.063, 50.69
11.140, 55.65
11.263, 53.31
11.340, 50.33
11.463, 52.09
11.540, 50.26
11.663, 55.47
11.740, 55.25
11.863, 50.14
11.940, 50.73
12.063, 54.43
12.140, 52.43
12.263, 53.97
12.340, 52.97
12.463, 54.84
12.540, 49.89
12.663, 52.54
12.740, 50.06
12.863, 54.59
12.940, 56.00
13.063, 49.11
13.140, 50.40
13.263, 52.57
13.340, 54.53
13.463, 52.73
13.540, 46.76
13.663, 54.65
13.740, 49.21
13.863, 51.60
13.940, 51.71
14.063, 55.42
14.140, 57.89
14.263, 50.75
14.340, 50.43
14.463, 52.36
14.540, 55.12
14.663, 56.43
14.740, 57.45
14.863, 53.19
14.940, 52.96
15.063, 50.25
15.140, 55.10
15.263, 54.24
15.340, 56.60
15.463, 53.13
15.540, 56.34
15.663, 54.00
15.740, 54.57
15.863, 54.16
15.940, 46.44
16.063, 48.89
16.140, 48.78
