time (sec), current (uA)
0.094, -2.36
0.109, -1.56
0.294, 0.17
0.309, -0.83
0.494, -5.01
0.509, -4.78
0.694, -1.02
0.709, -1.03
0.894, -1.10
0.909, -2.52
1.094, 1.41
1.109, -1.37
1.294, 0.12
1.309, -3.00
1.494, 1.94
1.509, -2.94
1.694, 0.87
1.709, -0.76
1.894, 1.22
1.909, -3.19
2.094, 1.11
2.109, -0.92
2.294, -6.02
2.309, -2.11
2.494, 3.54
2.509, -0.15
2.694, 5.10
2.709, -1.44
2.894, -3.27
2.909, 0.15
3.094, -0.55
3.109, -1.91
3.294, -4.01
3.309, -1.64
3.494, 0.24
3.509, 7.12
3.694, 114.93
3.709, 84.41
3.894, 91.56
3.909, 87.96
4.094, 86.88
4.109, 87.06
4.294, 90.53
4.309, 87.04
4.494, 92.84
4.509, 88.56
4.694, 92.75
4.709, 93.26
4.894, 93.39
4.909, 90.55
5.094, 94.66
5.109, 91.97
5.294, 92.69
5.309, 89.77
5.494, 94.79
5.509, 92.25
5.694, 91.83
5.709, 88.94
5.894, 92.70
5.909, 92.39
6.094, 92.43
6.109, 91.20
6.294, 92.09
6.309, 93.41
6.494, 91.07
6.509, 92.21
6.694, 93.25
6.709, 92.57
6.894, 90.62
6.909, 93.03
7.094, 91.56
7.109, 92.60
7.294, 89.85
7.309, 93.57
7.494, 92.77
7.509, 91.92
7.694, 95.63
7.709, 94.01
7.894, 94.27
7.909, 88.84
8.094, 94.41
8.109, 93.52
8.294, 92.45
8.309, 92.79
8.494, 95.32
8.509, 92.18
8.694, 92.52
8.709, 94.77
8.894, 94.22
8.909, 91.46
9.094, 94.94
9.109, 93.72
9.294, 88.83
9.309, 91.83
9.494, 93.79
9.509, 94.68
9.694, 88.84
9.709, 91.64
9.894, 94.21
9.909, 94.87
10.094, 94.80
10.109, 93.13
10.294, 95.88
10.309, 93.82
10.494, 93.26
10.509, 93.62
10.694, 90.34
10.709, 90.90
10.894, 93.27
10.909, 94.11
11.094, 88.69
11.109, 93.78
11.294, 93.33
11.309, 94.92
11.494, 93.18
11.509, 94.49
11.694, 93.69
11.709, 93.81
11.894, 93.78
11.909, 91.66
12.094, 92.12
12.109, 93.42
12.294, 97.80
12.309, 91.46
12.494, 92.72
12.509, 92.45
12.694, 92.37
12.709, 95.19
12.894, 95.31
12.909, 93.29
13.094, 92.09
13.109, 91.81
13.294, 93.23
13.309, 94.55
13.494, 92.35
13.509, 93.06
13.694, 90.43
13.709, 94.48
13.894, 96.73
13.909, 93.28
14.094, 93.06
14.109, 93.83
14.294, 94.76
14.309, 91.72
14.494, 93.26
14.509, 94.19
14.694, 91.43
14.709, 94.40
14.894, 92.73
14.909, 94.86
15.094, 96.72
15.109, 92.68
15.294, 94.49
15.309, 92.39
15.494, 92.97
15.509, 95.63
15.694, 93.20
15.709, 93.44
15.894, 93.25
15.909, 93.12
16.094, 92.69
16.109, 91.62
16.294, 94.49
16.309, 95.01
16.494, 94.88
16.509, 91.63
16.694, 94.35
16.709, 93.92
16.894, 90.45
16.909, 93.55
17.094, 94.11
17.109, 94.21
17.294, 93.08
17.309, 94.28
17.494, 93.82
17.509, 93.46
17.694, 95.28
17.709, 93.57
17.894, 94.39
17.909, 94.24
18.094, 90.85
18.109, 94.33
18.294, 95.94
18.309, 93.23
18.494, 92.98
18.509, 93.38
18.694, 93.64
18.709, 92.38
18.894, 92.50
18.909, 94.65
19.094, 93.30
19.109, 95.13
19.294, 90.51
19.309, 93.59
19.494, 90.12
19.509, 94.82
19.694, 97.45
19.709, 95.24
19.894, 95.52
19.909, 94.74
20.094, 91.79
20.109, 94.03
20.294, 93.64
20.309, 92.65
20.494, 94.14
20.509, 95.31
20.694, 97.94
20.709, 94.14
20.894, 96.23
20.909, 95.57
21.094, 96.89
21.109, 95.26
21.294, 94.80
21.309, 94.99
21.494, 96.07
21.509, 94.86
21.694, 96.22
21.709, 94.42
21.894, 97.84
21.909, 93.56
22.094, 97.27
22.109, 94.41
22.294, 93.82
22.309, 93.19
22.494, 94.55
22.509, 92.87
22.694, 97.62
22.709, 95.73
22.894, 95.80
22.909, 94.16
23.094, 90.75
23.109, 95.56
23.294, 95.22
23.309, 95.59
23.494, 96.80
23.509, 96.33
23.694, 97.43
23.709, 95.37
23.894, 95.40
23.909, 94.34
24.094, 93.72
24.109, 93.43
24.294, 93.63
24.309, 95.63
24.494, 96.57
24.509, 95.70
24.694, 92.41
24.709, 94.67
24.894, 92.55
24.909, 94.47
25.094, 98.10
25.109, 94.25
25.294, 96.06
25.309, 93.60
25.494, 94.11
25.509, 96.39
25.694, 95.30
25.709, 95.69
25.894, 95.99
25.909, 96.71
26.094, 97.16
26.109, 97.42
26.294, 96.34
26.309, 94.66
26.494, 102.70
26.509, 97.69
26.694, 94.92
26.709, 93.89
26.894, 93.29
26.909, 95.79
27.094, 98.96
27.109, 95.03
27.294, 98.92
27.309, 95.89
27.494, 100.07
27.509, 94.70
27.694, 91.68
27.709, 95.64
27.894, 97.15
27.909, 100.82
28.094, 101.01
28.109, 95.70
28.294, 97.61
28.309, 97.09
28.494, 92.85
28.509, 97.04
28.694, 94.02
28.709, 97.65
28.894, 95.79
28.909, 97.99
29.094, 101.62
29.109, 95.65
29.294, 100.10
29.309, 96.07
29.494, 97.40
29.509, 95.42
29.694, 96.85
29.709, 98.89
29.894, 96.23
29.909, 97.69
30.094, 98.06
30.109, 97.58
30.294, 93.48
30.309, 94.40
30.494, 93.96
30.509, 96.15
30.694, 96.15
30.709, 96.17
30.894, 98.91
30.909, 96.67
31.094, 99.32
31.109, 97.22
31.294, 98.15
31.309, 97.15
31.494, 93.11
31.509, 94.64
31.694, 95.68
31.709, 97.14
31.894, 93.62
31.909, 97.63
32.094, 99.35
32.109, 96.88
32.294, 97.88
32.309, 96.55
32.494, 98.97
32.509, 96.40
32.694, 97.88
32.709, 98.14
32.894, 95.84
32.909, 98.96
33.094, 99.18
33.109, 97.46
33.294, 101.01
33.309, 96.99
33.494, 102.88
33.509, 98.73
33.694, 97.11
33.709, 96.04
33.894, 101.57
33.909, 98.93
34.094, 95.94
34.109, 96.00
34.294, 96.17
34.309, 99.69
34.494, 100.21
34.509, 96.82
34.694, 96.04
34.709, 97.71
34.894, 97.26
34.909, 97.25
35.094, 96.02
35.109, 98.64
35.294, 96.54
35.309, 97.40
35.494, 100.72
35.509, 98.13
35.694, 99.99
35.709, 100.20
35.894, 100.00
35.909, 97.24
36.094, 100.11
36.109, 97.83
36.294, 97.60
36.309, 99.05
36.494, 99.17
36.509, 98.83
36.694, 97.96
36.709, 98.75
36.894, 99.20
36.909, 97.75
37.094, 97.28
37.109, 97.46
37.294, 95.20
37.309, 97.19
37.494, 97.72
37.509, 98.39
37.694, 97.01
37.709, 101.92
37.894, 97.78
37.909, 100.60
38.094, 101.90
38.109, 98.99
38.294, 102.20
38.309, 99.18
38.494, 101.94
38.509, 100.21
38.694, 100.67
38.709, 97.92
38.894, 100.77
38.909, 98.46
39.094, 99.18
39.109, 100.24
39.294, 101.14
39.309, 98.32
39.494, 103.17
39.509, 99.52
39.694, 100.66
39.709, 98.97
39.894, 101.51
39.909, 95.80
40.094, 102.02
40.109, 98.36
40.294, 102.65
40.309, 99.86
40.494, 100.60
40.509, 100.33
40.694, 100.78
40.709, 99.67
40.894, 100.61
40.909, 100.50
41.094, 100.73
41.109, 102.33
41.294, 101.12
41.309, 101.59
41.494, 98.41
41.509, 98.60
41.694, 98.43
41.709, 99.38
41.894, 100.93
41.909, 98.31
42.094, 99.19
42.109, 99.23
42.294, 101.78
42.309, 101.52
42.494, 98.71
42.509, 98.85
42.694, 104.19
42.709, 100.69
42.894, 97.74
42.909, 102.17
43.094, 99.70
43.109, 101.91
43.294, 99.34
43.309, 101.94
43.494, 100.66
43.509, 99.80
43.694, 102.05
43.709, 99.28
43.894, 100.63
43.909, 100.13
44.094, 98.19
44.109, 101.95
44.294, 98.91
44.309, 99.99
44.494, 99.73
44.509, 101.06
44.694, 101.20
44.709, 101.41
44.894, 96.54
44.909, 101.12
45.094, 100.74
45.109, 99.82
45.294, 98.72
45.309, 99.01
45.494, 101.55
45.509, 101.88
45.694, 103.88
45.709, 99.91
45.894, 101.71
45.909, 101.74
46.094, 100.79
46.109, 100.13
46.294, 103.83
46.309, 98.30
46.494, 102.76
46.509, 102.76
46.694, 100.30
46.709, 102.40
46.894, 97.28
46.909, 98.75
47.094, 104.23
47.109, 100.31
47.294, 100.57
47.309, 104.13
47.494, 104.13
47.509, 101.03
47.694, 98.87
47.709, 158.16
47.894, 75.94
47.909, 74.36
48.094, 70.38
48.109, 67.64
48.294, 64.14
48.309, 62.17
48.494, 61.75
48.509, 57.97
48.694, 53.58
48.709, 56.21
48.894, 62.21
48.909, 64.99
49.094, 84.84
49.109, 77.68
49.294, 86.50
49.309, 84.39
49.494, 89.80
49.509, 86.83
49.694, 103.99
49.709, 100.65
49.894, 105.57
49.909, 101.63
50.094, 107.17
50.109, 103.95
50.294, 100.97
50.309, 100.72
50.494, 106.11
50.509, 100.54
50.694, 104.47
50.709, 101.50
50.894, 106.16
50.909, 103.27
51.094, 104.74
51.109, 103.90
51.294, 104.79
51.309, 103.49
51.494, 102.14
51.509, 103.09
51.694, 105.00
51.709, 107.82
51.894, 104.80
51.909, 104.66
52.094, 109.21
52.109, 105.87
52.294, 104.87
52.309, 103.97
52.494, 108.47
52.509, 104.75
52.694, 103.86
52.709, 104.88
52.894, 103.21
52.909, 102.46
53.094, 104.42
53.109, 104.38
53.294, 101.64
53.309, 104.29
53.494, 107.28
53.509, 104.02
53.694, 104.98
53.709, 103.75
53.894, 108.90
53.909, 105.40
54.094, 102.58
54.109, 104.17
54.294, 108.34
54.309, 101.61
54.494, 106.06
54.509, 106.16
54.694, 105.41
54.709, 104.26
54.894, 106.89
54.909, 106.23
55.094, 108.20
55.109, 106.11
55.294, 106.77
55.309, 105.54
55.494, 103.53
55.509, 104.88
55.694, 105.58
55.709, 102.74
55.894, 103.70
55.909, 106.15
56.094, 103.41
56.109, 107.68
56.294, 103.11
56.309, 104.32
56.494, 108.17
56.509, 104.60
56.694, 104.77
