time (sec), voltage (V)
0.153, -0.49
0.155, -1.08
0.553, -0.59
0.556, -1.11
0.649, -0.74
0.651, -0.60
0.651, -0.45
0.652, -0.14
0.754, -1.04
0.756, -1.10
0.850, -0.68
0.852, -0.33
0.951, -0.19
0.953, -0.55
0.954, -0.93
0.956, -1.11
1.051, -0.67
1.052, -0.25
1.152, -0.38
1.154, -1.06
1.351, -0.22
1.352, -0.46
1.355, -0.96
1.355, -1.00
1.451, -0.62
1.453, -0.10
1.552, -0.43
1.554, -0.74
1.555, -0.95
1.555, -1.02
1.652, -0.30
1.653, -0.12
1.850, -0.72
1.851, -0.42
1.951, -0.20
1.953, -0.55
1.955, -1.02
1.955, -1.03
2.154, -0.71
2.155, -0.99
2.353, -0.80
2.355, -1.05
2.451, -0.50
2.451, -0.45
2.552, -0.30
2.552, -0.43
2.651, -0.63
2.651, -0.53
2.754, -0.87
2.754, -1.02
2.849, -0.74
2.851, -0.60
2.953, -0.54
2.953, -0.66
2.955, -1.01
2.955, -1.07
3.049, -0.79
3.051, -0.59
3.154, -0.77
3.156, -1.12
3.250, -0.68
3.250, -0.62
3.450, -0.61
3.452, -0.25
3.520, 5.97
3.520, 5.82
3.522, 5.57
3.522, 5.49
3.525, 4.86
3.527, 4.62
3.527, 4.51
3.530, 3.87
3.532, 3.65
3.532, 3.48
3.533, 3.27
3.535, 3.00
3.535, 2.89
3.536, 2.74
3.538, 2.31
3.539, 2.17
3.541, 1.82
3.541, 1.78
3.555, -0.87
3.556, -1.12
3.652, -0.34
3.653, -0.15
3.661, 1.46
3.743, 1.43
3.858, 1.06
3.944, 1.17
3.953, -0.52
3.955, -1.06
4.052, -0.29
4.052, -0.16
4.059, 1.17
4.143, 1.43
4.143, 1.38
4.144, 1.16
4.151, -0.22
4.152, -0.37
4.154, -0.69
4.154, -0.85
4.259, 1.13
4.346, 0.85
4.354, -0.75
4.356, -1.12
4.449, -0.78
4.450, -0.65
4.459, 1.24
4.544, 1.30
4.551, -0.20
4.553, -0.56
4.659, 1.15
4.744, 1.20
4.752, -0.47
4.756, -1.14
4.859, 1.19
4.944, 1.19
5.060, 1.32
5.144, 1.25
5.144, 1.17
5.146, 0.92
5.250, -0.52
5.252, -0.31
5.258, 1.06
5.344, 1.17
5.351, -0.21
5.353, -0.71
5.459, 1.11
5.544, 1.17
5.555, -1.02
5.555, -1.12
5.650, -0.52
5.652, -0.31
5.659, 1.23
5.744, 1.28
5.745, 1.08
5.746, 0.93
5.751, -0.19
5.755, -1.06
5.852, -0.35
5.853, -0.15
5.859, 1.19
5.944, 1.29
5.954, -0.89
5.955, -1.05
6.051, -0.62
6.051, -0.48
6.060, 1.27
6.145, 1.02
6.152, -0.23
6.153, -0.61
6.155, -0.99
6.155, -1.07
6.249, -0.83
6.251, -0.49
6.260, 1.36
6.344, 1.17
6.351, -0.19
6.352, -0.40
6.353, -0.77
6.355, -1.04
6.460, 1.28
6.545, 1.00
6.552, -0.24
6.552, -0.31
6.554, -0.69
6.554, -0.82
6.659, 1.08
6.744, 1.25
6.752, -0.47
6.753, -0.75
6.755, -0.96
6.756, -1.12
6.851, -0.55
6.851, -0.45
6.860, 1.28
6.945, 1.11
6.952, -0.23
6.952, -0.35
7.049, -0.79
7.051, -0.58
7.059, 1.15
7.144, 1.29
7.155, -1.09
7.155, -1.17
7.260, 1.26
7.344, 1.18
7.451, -0.51
7.451, -0.40
7.460, 1.37
7.545, 0.96
7.551, -0.18
7.553, -0.44
7.554, -0.78
