time (sec), voltage (V)
0.050, -0.52
0.052, -0.32
0.151, -0.22
0.152, -0.53
0.352, -0.22
0.355, -1.09
0.450, -0.53
0.451, -0.37
0.551, -0.21
0.552, -0.57
0.555, -0.90
0.556, -1.13
0.751, -0.19
0.752, -0.39
0.753, -0.62
0.756, -1.12
0.849, -0.80
0.851, -0.59
0.952, -0.37
0.953, -0.69
1.049, -0.72
1.050, -0.65
1.153, -0.58
1.153, -0.71
1.155, -0.94
1.156, -1.10
1.250, -0.59
1.252, -0.34
1.351, -0.21
1.355, -1.08
1.451, -0.57
1.452, -0.28
1.551, -0.19
1.553, -0.64
1.554, -1.01
1.556, -1.18
1.755, -0.97
1.756, -1.14
1.955, -0.97
1.955, -1.02
2.049, -0.71
2.050, -0.63
2.153, -0.72
2.156, -1.17
2.251, -0.55
2.252, -0.33
2.450, -0.52
2.452, -0.19
2.552, -0.49
2.554, -0.93
2.651, -0.52
2.651, -0.50
2.753, -0.51
2.753, -0.64
2.851, -0.53
2.852, -0.35
2.951, -0.18
2.952, -0.44
3.049, -0.72
3.051, -0.45
3.051, -0.38
3.052, -0.23
3.154, -0.80
3.154, -1.09
3.250, -0.61
3.252, -0.29
3.355, -0.98
3.356, -1.17
3.450, -0.58
3.453, -0.09
3.458, 0.96
3.545, 0.98
3.555, -0.93
3.555, -1.04
3.650, -0.52
3.652, -0.20
3.657, 0.86
3.747, 0.73
3.754, -0.90
3.756, -1.12
3.851, -0.56
3.852, -0.33
3.856, 0.62
3.947, 0.67
3.953, -0.75
3.955, -0.99
4.058, 0.87
4.146, 0.78
4.152, -0.48
4.153, -0.86
4.155, -0.98
4.155, -1.05
4.258, 0.91
4.346, 0.88
4.353, -0.59
4.353, -0.79
4.452, -0.37
4.453, -0.16
4.457, 0.83
4.546, 0.87
4.552, -0.51
4.553, -0.73
4.651, -0.44
4.651, -0.38
4.658, 0.88
4.746, 0.79
4.751, -0.19
4.754, -0.92
4.850, -0.50
4.852, -0.33
4.858, 0.97
4.946, 0.82
4.953, -0.73
4.955, -1.08
5.050, -0.53
5.053, -0.11
5.058, 0.91
5.146, 0.89
5.153, -0.55
5.153, -0.69
5.155, -0.95
5.156, -1.13
5.251, -0.44
5.251, -0.37
5.258, 0.90
5.346, 0.93
5.451, -0.43
5.451, -0.40
5.458, 0.87
5.546, 0.94
5.553, -0.48
5.556, -1.09
5.652, -0.35
5.653, -0.08
5.658, 0.95
5.746, 0.91
5.752, -0.33
5.752, -0.45
5.852, -0.34
5.853, -0.09
5.858, 0.91
5.946, 0.89
5.953, -0.45
5.955, -1.09
6.058, 0.87
6.145, 0.95
6.152, -0.26
6.152, -0.41
6.154, -0.79
6.156, -1.11
6.250, -0.52
6.251, -0.32
6.258, 0.91
6.346, 0.94
6.351, -0.22
6.352, -0.45
6.354, -0.72
6.356, -1.10
6.450, -0.57
6.451, -0.31
6.458, 0.90
6.546, 0.95
6.652, -0.31
6.653, -0.09
6.658, 0.97
6.746, 0.88
6.752, -0.28
6.753, -0.75
6.851, -0.41
6.851, -0.40
6.858, 0.95
6.946, 0.89
6.953, -0.52
6.953, -0.65
6.954, -0.81
6.956, -1.10
7.052, -0.40
7.053, -0.10
7.058, 0.88
7.146, 0.90
7.258, 0.92
7.346, 0.88
7.353, -0.62
7.356, -1.09
7.450, -0.54
7.452, -0.30
7.458, 0.96
7.546, 0.90
7.554, -0.84
7.556, -1.10
7.652, -0.38
7.653, -0.09
7.658, 0.93
7.746, 0.81
7.850, -0.52
7.852, -0.32
7.858, 0.91
7.945, 0.97
7.952, -0.41
7.954, -1.01
8.058, 0.89
8.146, 0.82
8.154, -0.84
8.155, -1.01
8.250, -0.52
8.252, -0.28
8.257, 0.84
8.346, 0.83
8.352, -0.29
8.352, -0.46
8.450, -0.56
8.451, -0.35
8.457, 0.84
8.546, 0.85
8.552, -0.34
8.552, -0.39
8.652, -0.39
8.653, -0.10
8.657, 0.86
8.746, 0.89
8.857, 0.85
8.946, 0.83
8.952, -0.41
8.952, -0.45
9.051, -0.33
9.053, -0.09
9.057, 0.82
9.146, 0.84
9.151, -0.19
9.156, -1.07
9.257, 0.77
9.346, 0.86
9.352, -0.27
9.352, -0.40
9.451, -0.51
9.453, -0.07
9.457, 0.81
9.546, 0.78
9.554, -0.88
9.555, -1.13
9.652, -0.40
9.653, -0.09
9.657, 0.83
9.746, 0.89
9.857, 0.86
9.946, 0.88
9.951, -0.22
9.954, -1.02
10.052, -0.21
10.052, -0.13
10.058, 0.88
10.146, 0.91
10.252, -0.33
10.253, -0.10
10.257, 0.85
10.346, 0.85
10.353, -0.76
10.355, -1.03
10.457, 0.82
10.546, 0.80
10.551, -0.16
10.552, -0.41
10.554, -0.73
10.555, -1.02
10.651, -0.54
10.652, -0.28
10.658, 0.87
10.746, 0.84
10.755, -0.99
10.756, -1.13
10.851, -0.45
10.853, -0.10
10.857, 0.83
10.946, 0.84
10.951, -0.17
10.953, -0.62
10.955, -1.10
10.955, -1.11
11.052, -0.28
11.052, -0.14
11.057, 0.84
11.146, 0.86
11.153, -0.49
11.153, -0.53
11.258, 0.88
11.346, 0.81
11.354, -0.90
11.356, -1.12
11.451, -0.59
11.451, -0.46
11.457, 0.86
11.546, 0.89
11.551, -0.19
11.552, -0.54
11.554, -0.85
11.555, -0.95
11.658, 0.88
11.746, 0.89
11.752, -0.58
11.756, -1.15
11.852, -0.35
11.852, -0.16
11.857, 0.84
11.946, 0.85
11.951, -0.21
11.952, -0.57
11.955, -1.01
11.956, -1.14
12.051, -0.49
12.051, -0.43
12.057, 0.84
12.146, 0.84
12.151, -0.24
12.156, -1.11
12.258, 0.88
12.346, 0.84
12.457, 0.82
12.546, 0.80
12.554, -0.69
12.556, -1.14
12.657, 0.84
12.746, 0.84
12.754, -0.90
12.756, -1.14
12.850, -0.54
12.852, -0.22
12.857, 0.79
12.946, 0.82
12.951, -0.19
12.954, -0.83
13.050, -0.56
13.053, -0.08
13.058, 0.94
13.146, 0.81
13.152, -0.48
13.154, -0.77
13.251, -0.56
13.252, -0.15
13.258, 0.90
13.346, 0.89
13.353, -0.74
13.354, -0.82
13.452, -0.28
13.453, -0.10
13.457, 0.79
13.546, 0.86
13.551, -0.22
13.554, -0.82
13.650, -0.51
13.651, -0.33
13.657, 0.76
13.746, 0.85
13.751, -0.20
13.754, -0.83
13.857, 0.75
13.946, 0.85
14.050, -0.53
14.052, -0.14
14.057, 0.82
14.146, 0.80
14.153, -0.86
14.155, -0.95
14.250, -0.60
14.252, -0.33
14.257, 0.86
14.346, 0.85
14.450, -0.58
14.452, -0.26
14.457, 0.85
14.546, 0.82
14.555, -1.04
14.556, -1.11
14.652, -0.31
14.652, -0.15
14.657, 0.83
14.746, 0.84
14.752, -0.49
14.754, -0.79
14.850, -0.51
14.852, -0.29
14.857, 0.86
14.946, 0.84
14.951, -0.20
14.954, -0.86
15.052, -0.22
15.052, -0.19
15.057, 0.80
15.146, 0.80
15.154, -0.75
15.155, -1.07
15.257, 0.80
15.346, 0.82
15.352, -0.51
15.354, -0.74
15.451, -0.51
15.453, -0.09
15.457, 0.76
15.546, 0.88
15.551, -0.19
15.552, -0.44
15.554, -0.76
15.555, -0.89
15.657, 0.81
15.746, 0.81
15.858, 0.89
15.946, 0.82
16.052, -0.33
16.053, -0.10
16.057, 0.82
16.146, 0.88
16.152, -0.29
16.153, -0.84
16.252, -0.33
16.253, -0.13
16.257, 0.76
16.346, 0.86
16.352, -0.40
16.354, -0.84
16.355, -0.95
16.355, -1.02
16.450, -0.51
16.453, -0.16
16.457, 0.86
16.546, 0.81
16.552, -0.55
16.553, -0.80
16.555, -0.92
16.556, -1.08
16.658, 0.89
16.746, 0.77
16.751, -0.19
16.752, -0.44
16.754, -0.66
16.756, -1.10
16.858, 0.87
16.946, 0.82
17.052, -0.34
17.052, -0.22
17.058, 0.88
17.146, 0.84
17.153, -0.59
17.153, -0.76
17.257, 0.79
17.346, 0.84
17.353, -0.66
17.355, -0.99
17.457, 0.86
17.546, 0.87
17.652, -0.42
17.653, -0.14
17.657, 0.80
17.746, 0.86
17.754, -0.70
17.755, -0.93
17.850, -0.54
17.852, -0.33
17.857, 0.85
17.946, 0.83
17.952, -0.57
17.954, -0.78
18.050, -0.51
18.051, -0.33
18.057, 0.84
18.146, 0.80
18.153, -0.58
18.154, -0.78
18.251, -0.45
18.253, -0.09
18.257, 0.86
18.347, 0.73
18.351, -0.18
18.352, -0.46
18.457, 0.82
18.546, 0.85
18.551, -0.22
18.554, -0.92
18.650, -0.64
18.653, -0.12
18.657, 0.85
18.746, 0.87
18.852, -0.35
18.852, -0.26
18.857, 0.84
18.946, 0.88
18.952, -0.50
18.955, -0.99
19.058, 0.87
19.146, 0.78
19.152, -0.57
19.154, -0.85
19.257, 0.82
19.346, 0.83
19.355, -0.98
19.355, -1.07
19.457, 0.84
19.546, 0.80
19.551, -0.22
19.554, -0.84
19.650, -0.55
19.652, -0.30
19.657, 0.82
19.746, 0.82
19.751, -0.21
19.753, -0.48
19.753, -0.62
19.755, -0.90
19.858, 0.87
19.947, 0.73
19.952, -0.61
19.954, -0.87
20.051, -0.51
20.051, -0.43
20.057, 0.79
20.146, 0.87
20.151, -0.19
20.152, -0.42
20.258, 0.88
20.346, 0.88
20.354, -0.82
20.355, -0.91
20.450, -0.51
20.451, -0.38
20.457, 0.86
20.547, 0.73
20.553, -0.74
20.555, -0.90
20.658, 0.90
20.746, 0.84
20.751, -0.29
20.752, -0.54
20.857, 0.81
20.946, 0.77
20.953, -0.80
20.953, -0.86
21.050, -0.59
21.052, -0.25
21.057, 0.82
21.146, 0.86
21.151, -0.24
21.153, -0.50
21.250, -0.51
21.251, -0.35
21.258, 0.89
21.346, 0.80
21.354, -0.86
21.355, -1.02
21.458, 0.86
21.547, 0.71
21.551, -0.19
21.552, -0.55
21.657, 0.81
21.747, 0.66
21.850, -0.54
21.852, -0.31
21.857, 0.81
21.946, 0.84
21.951, -0.23
21.953, -0.81
22.050, -0.54
22.052, -0.28
22.058, 0.86
22.146, 0.79
22.151, -0.21
22.152, -0.46
22.250, -0.53
22.252, -0.23
22.257, 0.82
22.346, 0.79
22.351, -0.20
22.352, -0.45
22.450, -0.53
22.452, -0.26
22.458, 0.88
22.546, 0.88
22.554, -1.01
22.554, -1.02
22.650, -0.60
22.652, -0.33
22.658, 0.89
22.746, 0.89
22.752, -0.60
22.753, -0.83
22.858, 0.94
22.946, 0.77
22.951, -0.18
22.953, -0.79
23.057, 0.86
23.147, 0.74
23.151, -0.18
23.153, -0.91
23.257, 0.86
23.346, 0.80
23.353, -0.72
23.355, -1.01
23.450, -0.53
23.452, -0.16
23.457, 0.85
23.546, 0.81
23.555, -1.00
23.555, -1.04
23.657, 0.77
23.747, 0.75
23.751, -0.21
23.753, -0.57
23.753, -0.81
23.755, -0.96
23.850, -0.52
23.852, -0.26
23.857, 0.83
23.946, 0.84
23.952, -0.60
23.955, -0.98
24.050, -0.55
24.053, -0.09
24.057, 0.82
24.146, 0.77
24.151, -0.16
24.153, -0.73
24.257, 0.81
24.346, 0.91
24.452, -0.34
24.453, -0.12
24.458, 0.90
24.546, 0.90
24.552, -0.45
24.554, -0.89
24.651, -0.53
24.653, -0.10
24.657, 0.80
24.747, 0.75
