time (sec), current (uA)
0.063, -0.19
0.140, 6.32
0.263, 0.73
0.340, -3.83
0.463, -2.02
0.540, -2.86
0.663, -1.00
0.740, 5.13
0.863, 1.35
0.940, 2.61
1.063, -0.59
1.140, 0.56
1.263, -3.34
1.340, 0.16
1.463, -0.85
1.540, 2.39
1.663, 2.63
1.740, 4.21
1.863, -0.03
1.940, -2.35
2.063, 3.04
2.140, 2.45
2.263, 4.22
2.340, -0.97
2.463, -2.99
2.540, 0.91
2.663, -1.17
2.740, 0.76
2.863, -2.66
2.940, 3.17
3.063, 2.01
3.140, 1.34
3.263, -3.26
3.340, -2.50
3.463, 71.31
3.540, 58.72
3.663, 65.11
3.740, 64.07
3.863, 65.85
3.940, 64.66
4.063, 58.24
4.140, 57.46
4.263, 66.50
4.340, 61.85
4.463, 57.06
4.540, 57.96
4.663, 58.27
4.740, 61.67
4.863, 62.48
4.940, 62.18
5.063, 61.24
5.140, 56.14
5.263, 62.94
5.340, 61.53
5.463, 57.93
5.540, 61.40
5.663, 63.20
5.740, 61.90
5.863, 57.14
5.940, 59.59
6.063, 56.83
6.140, 58.99
6.263, 63.57
6.340, 61.81
6.463, 60.47
6.540, 62.62
6.663, 65.88
6.740, 60.01
6.863, 64.18
6.940, 59.10
7.063, 61.76
7.140, 55.11
7.263, 65.44
7.340, 60.92
7.463, 60.57
7.540, 60.57
7.663, 61.41
7.740, 66.58
7.863, 66.23
7.940, 62.66
8.063, 66.04
8.140, 67.77
8.263, 59.84
8.340, 62.23
8.463, 64.96
8.540, 67.29
8.663, 65.02
8.740, 62.97
8.863, 62.81
8.940, 62.84
9.063, 63.98
9.140, 61.11
9.263, 61.51
9.340, 61.99
9.463, 62.75
9.540, 70.90
9.663, 67.12
9.740, 64.72
9.863, 63.08
9.940, 65.10
10.063, 66.04
10.140, 65.53
10.263, 68.96
10.340, 64.45
10.463, 63.91
10.540, 67.22
10.663, 64.23
10.740, 63.12
10.863, 64.79
10.940, 62.50
11.063, 65.55
11.140, 63.22
11.263, 69.17
11.340, 69.16
11.463, 67.43
11.540, 64.70
11.663, 65.51
11.740, 66.73
11.863, 64.04
11.940, 67.25
12.063, 67.02
12.140, 63.16
12.263, 68.43
12.340, 66.06
12.463, 70.15
12.540, 60.92
12.663, 64.84
12.740, 63.28
12.863, 66.39
12.940, 62.69
13.063, 71.01
13.140, 64.93
13.263, 62.48
13.340, 68.27
13.463, 69.07
13.540, 66.03
13.663, 66.18
13.740, 64.61
13.863, 68.23
13.940, 68.25
14.063, 67.93
14.140, 69.62
14.263, 70.36
14.340, 66.17
14.463, 66.52
14.540, 64.63
14.663, 65.32
14.740, 66.98
14.863, 65.82
14.940, 67.81
15.063, 71.25
15.140, 63.37
15.263, 65.91
15.340, 66.58
15.463, 70.16
15.540, 65.49
15.663, 68.90
15.740, 71.28
15.863, 68.08
15.940, 68.78
16.063, 73.02
16.140, 71.74
16.263, 67.12
16.340, 66.85
16.463, 72.60
16.540, 68.02
16.663, 72.73
16.740, 66.02
16.863, 71.70
16.940, 68.12
17.063, 69.71
17.140, 67.54
17.263, 67.83
17.340, 67.40
17.463, 70.09
17.540, 67.83
17.663, 68.95
17.740, 69.62
17.863, 68.12
17.940, 67.14
18.063, 67.82
18.140, 67.26
18.263, 70.29
18.340, 72.26
18.463, 69.60
18.540, 67.51
18.663, 72.89
18.740, 70.89
18.863, 72.22
18.940, 67.84
19.063, 67.79
19.140, 67.79
19.263, 79.33
19.340, 71.38
19.463, 72.30
19.540, 74.75
19.663, 67.73
19.740, 71.01
19.863, 71.35
19.940, 71.28
20.063, 76.14
20.140, 76.69
20.263, 79.27
20.340, 67.63
20.463, 80.00
20.540, 66.10
20.663, 79.37
20.740, 66.78
20.863, 68.23
20.940, 75.02
21.063, 70.79
21.140, 72.25
21.263, 77.19
21.340, 69.19
21.463, 76.46
21.540, 74.87
21.663, 73.13
21.740, 75.90
21.863, 72.71
21.940, 75.37
22.063, 73.76
22.140, 67.64
22.263, 70.98
22.340, 70.47
22.463, 77.21
22.540, 68.99
22.663, 77.71
22.740, 66.27
22.863, 75.69
22.940, 71.48
23.063, 77.21
23.140, 76.52
23.263, 70.81
23.340, 73.88
23.463, 72.00
23.540, 73.95
23.663, 74.08
23.740, 74.94
23.863, 69.35
23.940, 74.23
24.063, 78.01
24.140, 69.12
24.263, 75.50
24.340, 75.69
24.463, 75.60
24.540, 70.74
24.663, 67.59
24.740, 78.68
24.863, 75.59
24.940, 67.12
25.063, 72.47
25.140, 70.23
25.263, 73.83
25.340, 70.19
25.463, 73.31
25.540, 72.65
25.663, 73.61
25.740, 69.94
25.863, 71.16
25.940, 71.45
26.063, 71.87
26.140, 75.99
26.263, 70.51
26.340, 76.22
26.463, 69.58
26.540, 76.41
26.663, 72.97
26.740, 69.22
26.863, 72.03
26.940, 74.46
27.063, 76.24
27.140, 68.53
27.263, 77.28
27.340, 71.21
27.463, 74.35
27.540, 78.00
27.663, 74.58
27.740, 76.01
27.863, 76.62
27.940, 71.12
28.063, 77.31
28.140, 74.77
28.263, 73.19
28.340, 75.32
28.463, 77.03
28.540, 70.53
28.663, 76.75
28.740, 73.62
28.863, 76.53
28.940, 75.76
29.063, 71.72
29.140, 80.20
29.263, 78.28
29.340, 77.48
29.463, 77.97
29.540, 74.54
29.663, 72.10
29.740, 78.00
29.863, 72.49
29.940, 75.42
30.063, 75.08
30.140, 70.78
30.263, 74.45
30.340, 74.22
30.463, 73.87
30.540, 75.31
30.663, 76.66
30.740, 81.14
30.863, 71.44
30.940, 78.61
31.063, 74.37
31.140, 74.96
31.263, 72.25
31.340, 73.53
31.463, 71.91
31.540, 81.28
31.663, 78.13
31.740, 74.06
31.863, 79.42
31.940, 74.36
32.063, 77.12
32.140, 77.98
32.263, 72.93
32.340, 79.14
32.463, 75.60
32.540, 78.33
32.663, 76.89
32.740, 78.54
32.863, 78.19
32.940, 74.12
33.063, 73.45
33.140, 77.42
33.263, 74.38
