time (sec), current (uA)
0.063, -0.21
0.140, -0.19
0.263, 0.72
0.340, -0.11
0.463, -0.90
0.540, 3.56
0.663, -3.39
0.740, 2.77
0.863, -3.17
0.940, 2.29
1.063, 2.72
1.140, -1.94
1.263, -0.61
1.340, -0.75
1.463, 3.19
1.540, -5.01
1.663, 4.78
1.740, 2.21
1.863, -0.18
1.940, 0.47
2.063, 0.49
2.140, -0.46
2.263, -2.75
2.340, 1.69
2.463, 2.12
2.540, 0.31
2.663, 5.51
2.740, -2.32
2.863, -3.81
2.940, -3.87
3.063, 1.65
3.140, -4.44
3.263, 5.82
3.340, -2.93
3.463, 5.03
3.540, -0.91
3.663, -0.86
3.740, -4.28
3.863, -2.45
3.940, -1.50
4.063, -3.42
4.140, -4.58
4.263, 1.56
4.340, 1.78
4.463, -1.10
4.540, -1.38
4.663, 44.41
4.740, 45.76
4.863, 45.57
4.940, 44.48
5.063, 54.34
5.140, 50.33
5.263, 45.22
5.340, 47.42
5.463, 46.81
5.540, 41.22
5.663, 43.95
5.740, 46.37
5.863, 44.38
5.940, 42.75
6.063, 47.07
6.140, 43.33
6.263, 49.03
6.340, 44.35
6.463, 46.75
6.540, 44.49
6.663, 44.39
6.740, 45.41
6.863, 44.39
6.940, 48.29
7.063, 47.90
7.140, 45.04
7.263, 49.07
7.340, 44.96
7.463, 46.22
7.540, 46.66
7.663, 48.78
7.740, 48.54
7.863, 46.18
7.940, 48.77
8.063, 49.24
8.140, 45.35
8.263, 48.57
8.340, 48.26
8.463, 45.14
8.540, 49.76
8.663, 47.73
8.740, 47.82
8.863, 47.81
8.940, 46.86
9.063, 49.39
9.140, 48.04
9.263, 46.72
9.340, 47.72
9.463, 46.64
9.540, 50.82
9.663, 50.91
9.740, 50.96
9.863, 45.97
9.940, 51.40
10.063, 47.35
10.140, 45.62
10.263, 50.01
10.340, 46.12
10.463, 48.36
10.540, 46.15
10.663, 47.31
10.740, 49.50
10.863, 50.84
10.940, 48.50
11.063, 52.19
11.140, 49.30
11.263, 49.14
11.340, 45.48
11.463, 48.31
11.540, 48.04
11.663, 49.93
11.740, 48.37
11.863, 48.99
11.940, 46.90
12.063, 48.78
12.140, 51.01
12.263, 50.00
12.340, 50.24
12.463, 49.20
12.540, 53.04
12.663, 46.39
12.740, 48.04
12.863, 50.39
12.940, 47.45
13.063, 49.42
13.140, 46.90
13.263, 47.63
13.340, 49.11
13.463, 49.54
13.540, 48.20
13.663, 52.05
13.740, 51.29
13.863, 49.27
13.940, 51.62
14.063, 50.70
14.140, 52.67
14.263, 47.31
14.340, 54.44
14.463, 51.76
14.540, 51.35
14.663, 48.30
14.740, 44.82
14.863, 49.68
14.940, 58.61
15.063, 48.39
15.140, 53.96
15.263, 52.14
15.340, 52.83
15.463, 49.67
15.540, 46.75
15.663, 53.95
15.740, 47.07
15.863, 48.48
15.940, 49.90
16.063, 50.57
16.140, 57.29
16.263, 52.59
16.340, 50.34
16.463, 50.68
16.540, 54.56
16.663, 52.36
16.740, 53.67
16.863, 51.45
16.940, 57.72
17.063, 49.72
17.140, 56.53
17.263, 49.84
17.340, 48.12
17.463, 52.53
17.540, 48.02
17.663, 50.75
17.740, 52.48
17.863, 51.14
17.940, 45.84
18.063, 51.83
18.140, 49.85
18.263, 49.83
18.340, 51.22
18.463, 50.97
18.540, 52.29
18.663, 51.67
18.740, 52.02
18.863, 50.84
18.940, 48.41
19.063, 52.09
19.140, 50.74
19.263, 50.10
19.340, 49.03
19.463, 49.68
19.540, 49.03
19.663, 49.26
19.740, 48.03
19.863, 56.51
19.940, 47.86
20.063, 48.14
20.140, 48.93
20.263, 51.40
20.340, 47.83
20.463, 51.69
20.540, 47.03
20.663, 51.54
20.740, 52.91
20.863, 53.53
20.940, 50.81
21.063, 50.81
21.140, 46.86
21.263, 51.54
21.340, 50.92
21.463, 49.67
21.540, 46.84
21.663, 51.06
21.740, 52.40
21.863, 49.53
21.940, 52.41
22.063, 51.22
22.140, 52.27
22.263, 51.44
22.340, 54.97
22.463, 53.15
22.540, 52.10
22.663, 51.58
22.740, 52.06
22.863, 52.84
22.940, 53.30
23.063, 47.07
23.140, 49.71
23.263, 48.84
23.340, 51.22
23.463, 47.77
23.540, 53.54
23.663, 52.99
23.740, 52.03
23.863, 48.83
23.940, 49.24
24.063, 50.28
24.140, 50.38
24.263, 50.95
24.340, 53.01
24.463, 48.77
24.540, 48.42
24.663, 46.52
24.740, 47.37
24.863, 48.37
24.940, 48.71
25.063, 49.61
25.140, 48.24
25.263, 51.25
25.340, 54.14
25.463, 48.48
25.540, 48.13
25.663, 53.65
25.740, 56.13
25.863, 53.60
25.940, 53.58
26.063, 47.81
26.140, 47.54
26.263, 51.01
26.340, 50.65
26.463, 53.34
26.540, 50.52
26.663, 48.98
26.740, 52.66
26.863, 50.12
26.940, 53.60
27.063, 50.96
27.140, 49.69
27.263, 48.30
27.340, 50.44
27.463, 51.33
27.540, 52.36
27.663, 47.81
27.740, 54.22
27.863, 48.15
27.940, 49.14
28.063, 51.73
28.140, 48.20
28.263, 53.37
28.340, 52.36
28.463, 50.31
28.540, 53.22
28.663, 52.95
28.740, 48.23
28.863, 48.47
28.940, 50.76
29.063, 49.69
29.140, 54.54
29.263, 48.27
29.340, 53.07
29.463, 52.93
29.540, 48.65
29.663, 50.39
29.740, 51.18
29.863, 51.20
29.940, 49.78
30.063, 50.69
30.140, 52.12
30.263, 51.71
30.340, 50.00
30.463, 54.38
30.540, 48.20
30.663, 52.18
30.740, 49.77
30.863, 51.07
30.940, 52.74
31.063, 49.62
31.140, 49.04
31.263, 47.84
31.340, 55.22
31.463, 49.17
31.540, 55.82
31.663, 49.55
31.740, 53.35
31.863, 53.21
31.940, 50.91
32.063, 53.34
32.140, 50.59
32.263, 50.66
32.340, 49.27
32.463, 52.94
32.540, 53.50
32.663, 49.96
32.740, 51.62
32.863, 49.08
32.940, 52.27
33.063, 50.47
33.140, 51.95
33.263, 49.28
33.340, 54.69
33.463, 54.27
33.540, 48.35
33.663, 53.11
33.740, 51.62
33.863, 48.46
33.940, 53.24
34.063, 50.99
34.140, 52.19
