time (sec), voltage (V)
0.048, -1.01
0.048, -0.98
0.049, -0.76
0.051, -0.55
0.152, -0.40
0.156, -1.13
0.248, -1.04
0.248, -0.90
0.351, -0.21
0.352, -0.48
0.355, -0.96
0.356, -1.13
0.449, -0.70
0.451, -0.47
0.553, -0.60
0.556, -1.12
0.751, -0.20
0.755, -1.02
0.849, -0.73
0.851, -0.63
0.953, -0.44
0.953, -0.59
1.151, -0.19
1.153, -0.46
1.153, -0.68
1.154, -1.04
1.352, -0.47
1.356, -1.16
1.448, -1.04
1.448, -0.98
1.752, -0.39
1.756, -1.15
1.847, -1.23
1.847, -1.18
1.851, -0.56
1.853, -0.11
1.951, -0.24
1.952, -0.50
2.151, -0.24
2.152, -0.50
2.247, -1.22
2.247, -1.16
2.351, -0.20
2.355, -1.09
2.552, -0.40
2.556, -1.13
2.650, -0.64
2.653, -0.12
2.753, -0.73
2.756, -1.11
3.049, -0.79
3.051, -0.62
3.153, -0.85
3.156, -1.11
3.249, -0.75
3.252, -0.14
3.351, -0.21
3.352, -0.37
3.449, -0.78
3.451, -0.47
3.754, -0.83
3.754, -0.98
3.955, -0.96
3.955, -1.03
4.049, -0.69
4.051, -0.53
4.249, -0.80
4.251, -0.62
4.352, -0.43
4.354, -0.75
4.355, -0.96
4.356, -1.12
4.452, -0.35
4.453, -0.13
4.555, -0.96
4.556, -1.09
4.652, -0.34
4.653, -0.08
4.660, 1.30
4.746, 0.89
4.850, -0.62
4.852, -0.28
4.858, 0.91
4.945, 1.07
4.953, -0.45
4.953, -0.63
5.051, -0.43
5.052, -0.26
5.058, 0.90
5.146, 0.88
5.258, 0.92
5.345, 0.97
5.351, -0.21
5.352, -0.34
5.355, -0.93
5.356, -1.11
5.449, -0.82
5.451, -0.60
5.459, 1.22
5.546, 0.92
5.555, -0.89
5.556, -1.11
5.650, -0.58
5.652, -0.14
5.659, 1.20
5.744, 1.27
5.752, -0.38
5.754, -0.95
5.754, -1.01
5.755, -1.08
5.852, -0.34
5.852, -0.14
5.859, 1.15
5.945, 1.11
5.951, -0.22
5.953, -0.77
6.060, 1.27
6.144, 1.30
6.145, 1.12
6.145, 0.99
6.152, -0.33
6.152, -0.42
6.259, 1.16
6.345, 1.00
6.351, -0.23
6.354, -0.87
6.449, -0.81
6.452, -0.36
6.459, 1.23
6.544, 1.27
6.544, 1.17
6.545, 0.98
6.554, -0.82
6.556, -1.08
6.659, 1.20
6.745, 0.99
6.752, -0.34
6.752, -0.44
6.754, -1.04
6.755, -1.08
6.859, 1.21
6.944, 1.25
6.952, -0.22
6.952, -0.41
6.954, -0.87
6.956, -1.11
7.059, 1.20
7.144, 1.27
7.251, -0.51
7.252, -0.28
7.259, 1.07
7.345, 1.04
7.351, -0.21
7.352, -0.51
7.451, -0.54
7.451, -0.36
7.459, 1.19
7.545, 1.13
7.551, -0.19
7.554, -0.64
7.650, -0.51
7.652, -0.21
7.659, 1.17
7.745, 1.14
7.752, -0.41
7.754, -1.02
7.852, -0.41
7.853, -0.14
7.859, 1.10
7.945, 0.98
7.952, -0.34
7.954, -0.69
8.058, 0.98
8.145, 1.05
8.154, -0.95
8.156, -1.11
8.249, -0.83
8.250, -0.76
8.258, 1.06
8.344, 1.21
8.450, -0.51
8.452, -0.32
8.459, 1.13
8.544, 1.18
8.652, -0.26
8.652, -0.16
8.659, 1.07
8.744, 1.25
8.744, 1.19
8.745, 1.00
8.751, -0.20
8.755, -1.01
8.859, 1.18
8.945, 1.08
8.952, -0.44
8.956, -1.11
9.050, -0.56
9.052, -0.32
9.059, 1.15
9.145, 1.14
9.152, -0.28
9.152, -0.34
9.153, -0.72
9.156, -1.11
9.259, 1.07
9.345, 1.01
9.352, -0.35
9.353, -0.60
9.452, -0.40
9.453, -0.10
9.458, 1.05
9.545, 1.09
9.552, -0.29
9.552, -0.30
9.650, -0.82
9.652, -0.35
9.658, 1.06
9.745, 1.11
9.752, -0.43
9.755, -1.01
9.858, 1.04
9.945, 1.07
9.951, -0.19
9.953, -0.58
9.953, -0.85
9.955, -1.07
10.049, -0.79
10.051, -0.58
10.052, -0.36
10.053, -0.08
10.059, 1.07
10.145, 1.13
10.152, -0.33
10.152, -0.42
10.153, -0.70
10.155, -0.99
10.258, 1.04
10.345, 1.14
10.459, 1.09
10.545, 1.03
10.551, -0.18
10.553, -0.45
10.554, -0.91
10.556, -1.11
10.651, -0.37
10.652, -0.14
10.658, 1.04
10.745, 1.02
10.752, -0.45
10.754, -0.97
10.852, -0.31
10.853, -0.08
10.858, 1.02
10.944, 1.17
11.050, -0.53
11.053, -0.10
11.059, 1.19
11.145, 1.13
11.154, -0.85
11.156, -1.11
11.251, -0.55
11.251, -0.42
11.258, 1.06
11.344, 1.25
11.345, 1.11
11.345, 1.03
11.353, -0.79
11.354, -1.10
11.458, 0.99
11.545, 1.03
11.552, -0.46
11.554, -1.06
11.658, 1.03
11.744, 1.14
11.751, -0.21
11.753, -0.65
11.753, -0.80
11.756, -1.11
11.858, 1.03
11.944, 1.19
11.952, -0.38
11.954, -0.78
12.058, 0.99
12.144, 1.18
12.152, -0.46
12.155, -1.09
12.250, -0.63
12.252, -0.27
12.258, 1.01
12.345, 1.11
12.353, -0.82
12.355, -1.03
12.458, 1.04
12.545, 1.13
12.552, -0.48
12.554, -0.90
12.554, -1.05
12.556, -1.11
12.649, -0.80
12.651, -0.60
12.658, 0.95
12.745, 1.08
12.754, -0.93
12.754, -1.05
12.859, 1.14
12.944, 1.14
12.951, -0.18
12.952, -0.47
12.955, -0.99
12.955, -1.08
13.058, 0.99
13.145, 1.02
13.155, -0.93
13.156, -1.10
13.250, -0.50
13.251, -0.37
13.258, 1.00
13.344, 1.16
13.354, -1.05
13.356, -1.12
13.459, 1.08
13.544, 1.24
13.544, 1.18
13.545, 1.01
13.555, -0.90
13.556, -1.11
13.658, 0.89
13.744, 1.23
13.753, -0.88
13.754, -1.05
13.852, -0.34
13.853, -0.09
13.859, 1.22
13.945, 1.12
14.050, -0.54
14.052, -0.30
14.059, 1.17
14.145, 1.02
14.151, -0.20
14.156, -1.11
14.249, -0.80
14.251, -0.57
14.258, 0.95
14.258, 1.04
14.259, 1.22
14.344, 1.15
14.352, -0.30
14.353, -0.80
14.449, -0.80
14.452, -0.32
14.458, 0.95
14.545, 1.12
14.554, -0.85
14.555, -1.04
14.650, -0.60
14.652, -0.33
14.659, 1.18
14.745, 1.03
14.752, -0.37
14.756, -1.12
14.852, -0.27
14.852, -0.16
14.858, 0.96
14.858, 1.01
14.859, 1.20
14.945, 1.13
14.954, -0.92
14.955, -1.10
15.050, -0.50
15.052, -0.31
15.058, 1.06
15.145, 1.08
15.151, -0.19
15.153, -0.44
15.252, -0.32
15.253, -0.11
15.258, 0.92
15.345, 1.04
15.459, 1.21
15.544, 1.16
15.553, -0.80
15.556, -1.13
15.659, 1.19
15.745, 1.09
15.752, -0.27
15.752, -0.45
15.753, -0.75
15.756, -1.13
15.850, -0.56
15.852, -0.34
15.859, 1.10
15.945, 1.13
15.951, -0.23
15.954, -0.71
16.050, -0.52
16.052, -0.34
16.059, 1.15
16.144, 1.14
16.151, -0.21
16.152, -0.39
16.154, -0.90
16.154, -1.05
16.250, -0.51
16.252, -0.26
16.259, 1.12
16.345, 1.08
16.352, -0.46
16.354, -1.04
16.449, -0.74
16.452, -0.39
16.459, 1.22
16.544, 1.15
16.552, -0.39
16.554, -0.89
16.650, -0.58
16.652, -0.22
16.659, 1.17
16.745, 1.04
16.753, -0.77
16.756, -1.17
16.852, -0.34
16.853, -0.12
16.859, 1.21
16.945, 1.11
16.951, -0.26
16.952, -0.61
16.953, -0.84
16.956, -1.13
17.050, -0.51
17.053, -0.12
17.059, 1.10
17.144, 1.24
17.151, -0.21
17.152, -0.48
17.154, -1.06
17.156, -1.12
17.259, 1.15
17.344, 1.21
17.351, -0.21
17.353, -0.73
17.449, -0.79
17.451, -0.57
17.459, 1.21
17.544, 1.16
17.552, -0.37
17.552, -0.42
17.555, -1.02
17.555, -1.06
17.651, -0.54
17.651, -0.48
17.659, 1.18
17.744, 1.15
17.751, -0.19
17.752, -0.49
17.754, -0.88
17.754, -0.91
17.850, -0.57
17.853, -0.11
17.859, 1.09
17.945, 1.13
17.952, -0.30
17.953, -0.66
17.955, -0.99
17.955, -1.05
18.059, 1.22
18.144, 1.16
18.152, -0.46
18.154, -0.80
18.155, -0.92
18.156, -1.13
18.259, 1.16
18.344, 1.17
18.355, -1.02
18.355, -1.06
18.459, 1.20
18.544, 1.14
18.551, -0.21
18.552, -0.46
18.555, -1.02
18.555, -1.03
18.650, -0.54
18.652, -0.33
18.659, 1.11
18.745, 1.08
18.752, -0.41
18.754, -0.88
18.850, -0.60
18.852, -0.21
18.859, 1.21
18.945, 1.13
18.951, -0.25
18.952, -0.55
18.953, -0.81
18.955, -1.03
18.956, -1.17
18.956, -1.17
19.050, -0.74
19.052, -0.22
19.059, 1.23
19.144, 1.14
19.155, -1.07
19.155, -1.12
19.259, 1.15
19.344, 1.16
19.351, -0.19
19.352, -0.35
19.459, 1.26
