time (sec), voltage (V)
0.050, -0.79
0.050, -0.77
0.052, -0.33
0.052, -0.16
0.249, -0.79
0.252, -0.31
0.353, -0.54
0.355, -1.01
0.555, -0.94
0.556, -1.14
0.649, -0.82
0.651, -0.57
0.751, -0.22
0.756, -1.11
0.849, -0.84
0.852, -0.36
0.951, -0.27
0.952, -0.46
0.953, -0.68
0.955, -0.98
1.051, -0.63
1.053, -0.12
1.155, -1.09
1.155, -1.09
1.249, -0.78
1.251, -0.71
1.252, -0.27
1.252, -0.23
1.351, -0.19
1.354, -0.80
1.449, -0.81
1.452, -0.37
1.552, -0.25
1.554, -0.71
1.554, -0.83
1.556, -1.17
1.650, -0.77
1.653, -0.13
1.753, -0.64
1.755, -1.06
1.851, -0.57
1.853, -0.12
1.951, -0.23
1.952, -0.49
1.955, -0.94
1.956, -1.14
2.050, -0.57
2.052, -0.20
2.152, -0.36
2.153, -0.74
2.155, -1.02
2.156, -1.14
2.250, -0.77
2.252, -0.23
2.451, -0.54
2.452, -0.29
2.554, -0.74
2.555, -0.94
2.649, -0.84
2.652, -0.33
2.751, -0.23
2.752, -0.48
2.753, -0.62
2.755, -1.02
2.849, -0.79
2.851, -0.53
2.951, -0.19
2.954, -0.67
3.050, -0.55
3.052, -0.29
3.153, -0.66
3.155, -1.00
3.252, -0.30
3.252, -0.14
3.351, -0.23
3.353, -0.74
3.449, -0.76
3.452, -0.16
3.552, -0.22
3.552, -0.34
3.649, -0.81
3.653, -0.11
3.752, -0.45
3.754, -0.89
3.754, -0.98
3.755, -1.09
3.851, -0.35
3.853, -0.09
3.872, 3.76
3.944, 1.29
3.952, -0.61
3.954, -0.77
4.052, -0.34
4.052, -0.17
4.057, 0.76
4.145, 1.04
4.250, -0.50
4.252, -0.34
4.258, 0.94
4.346, 0.83
4.351, -0.19
4.356, -1.11
4.458, 0.96
4.546, 0.91
4.551, -0.20
4.553, -0.65
4.554, -1.04
4.554, -1.05
4.650, -0.60
4.651, -0.34
4.658, 0.99
4.745, 0.97
4.751, -0.22
4.756, -1.12
4.850, -0.77
4.850, -0.72
4.858, 1.01
4.945, 1.00
4.953, -0.61
4.956, -1.13
5.050, -0.58
5.052, -0.28
5.058, 0.93
5.145, 1.00
5.151, -0.26
5.156, -1.11
5.258, 0.93
5.346, 0.93
5.351, -0.21
5.352, -0.46
5.458, 0.89
5.546, 0.89
5.554, -0.83
5.555, -1.04
5.650, -0.63
5.652, -0.27
5.658, 0.93
5.746, 0.81
5.752, -0.50
5.755, -1.01
5.858, 0.89
5.946, 0.80
5.952, -0.48
5.954, -0.86
6.051, -0.48
6.053, -0.09
6.057, 0.80
6.146, 0.80
6.151, -0.19
6.152, -0.46
6.252, -0.33
6.253, -0.10
6.257, 0.86
6.346, 0.77
6.352, -0.44
6.354, -0.87
6.449, -0.77
6.451, -0.36
6.458, 0.87
6.546, 0.88
6.552, -0.47
6.555, -1.00
6.649, -0.75
6.653, -0.11
6.658, 0.92
6.746, 0.88
6.754, -0.79
6.754, -1.08
6.852, -0.32
6.853, -0.10
6.858, 0.88
6.946, 0.81
6.951, -0.20
6.952, -0.50
7.057, 0.82
7.146, 0.84
7.151, -0.26
7.152, -0.45
7.153, -0.74
7.156, -1.08
7.251, -0.46
7.251, -0.36
7.257, 0.79
7.346, 0.89
7.354, -0.98
7.354, -1.04
7.450, -0.53
7.452, -0.30
7.457, 0.81
7.546, 0.79
7.552, -0.35
7.555, -1.04
7.650, -0.56
7.652, -0.21
7.657, 0.84
7.746, 0.83
7.753, -0.81
7.753, -0.82
7.858, 0.87
7.946, 0.80
7.953, -0.53
7.954, -0.88
8.052, -0.27
8.052, -0.13
8.057, 0.83
8.146, 0.84
8.151, -0.18
8.154, -0.88
8.155, -0.96
8.156, -1.10
8.250, -0.58
8.252, -0.29
8.257, 0.82
8.346, 0.78
8.354, -1.01
8.354, -1.07
8.457, 0.80
8.546, 0.80
8.554, -0.82
8.555, -1.09
8.650, -0.47
8.652, -0.20
8.657, 0.81
8.746, 0.85
8.857, 0.82
8.946, 0.81
8.952, -0.30
8.952, -0.60
9.051, -0.54
9.052, -0.34
9.057, 0.81
9.146, 0.76
9.155, -0.96
9.156, -1.11
9.257, 0.78
9.346, 0.80
9.449, -0.75
9.452, -0.41
9.457, 0.84
9.546, 0.83
9.552, -0.44
9.554, -0.86
9.650, -0.57
9.653, -0.09
9.657, 0.78
9.746, 0.78
9.751, -0.19
9.753, -0.79
9.755, -0.94
9.756, -1.09
9.849, -0.81
9.853, -0.10
9.857, 0.83
9.946, 0.77
9.952, -0.47
9.956, -1.10
10.052, -0.27
10.053, -0.09
10.057, 0.83
10.146, 0.82
10.154, -0.91
10.154, -1.02
10.257, 0.76
10.346, 0.76
10.354, -0.91
10.356, -1.10
10.457, 0.83
10.546, 0.77
10.552, -0.33
10.554, -0.81
10.657, 0.81
10.746, 0.88
10.751, -0.18
10.752, -0.50
10.849, -0.79
10.850, -0.65
10.857, 0.84
10.946, 0.88
10.951, -0.27
10.954, -0.90
10.955, -0.99
10.956, -1.09
11.058, 0.89
11.146, 0.88
11.153, -0.54
11.154, -0.85
11.154, -0.92
11.156, -1.11
11.257, 0.80
11.346, 0.86
11.352, -0.38
11.352, -0.40
11.353, -0.85
11.355, -1.03
11.457, 0.78
11.546, 0.85
11.552, -0.51
11.554, -0.99
11.657, 0.82
11.746, 0.89
11.751, -0.20
11.753, -0.77
11.857, 0.81
11.946, 0.84
11.952, -0.41
11.954, -1.03
12.051, -0.46
12.051, -0.32
12.057, 0.81
12.146, 0.80
12.152, -0.45
12.155, -0.97
12.251, -0.36
12.252, -0.11
12.257, 0.80
12.346, 0.78
12.351, -0.23
12.353, -0.71
12.452, -0.30
12.453, -0.09
12.457, 0.80
12.546, 0.87
12.552, -0.42
12.556, -1.10
12.658, 0.91
12.746, 0.82
12.752, -0.54
12.753, -0.74
12.755, -0.89
12.756, -1.12
12.857, 0.81
12.946, 0.85
12.952, -0.38
12.954, -0.85
13.058, 0.86
13.146, 0.85
13.151, -0.20
13.152, -0.46
13.154, -0.93
13.156, -1.12
13.250, -0.62
13.252, -0.32
13.257, 0.83
13.346, 0.78
13.351, -0.18
13.352, -0.43
13.355, -0.95
13.356, -1.12
13.457, 0.79
13.546, 0.77
13.555, -0.97
13.556, -1.11
13.658, 0.87
13.746, 0.84
13.753, -0.78
13.754, -1.08
13.850, -0.58
13.853, -0.07
13.857, 0.85
13.946, 0.78
13.951, -0.18
13.956, -1.11
14.057, 0.79
14.146, 0.86
14.155, -0.95
14.155, -0.96
14.252, -0.29
14.253, -0.07
14.257, 0.80
14.346, 0.77
14.352, -0.45
14.354, -0.88
14.355, -0.97
14.356, -1.08
14.457, 0.74
14.546, 0.81
14.552, -0.45
14.554, -0.98
14.652, -0.32
14.653, -0.11
14.657, 0.86
14.746, 0.83
14.852, -0.28
14.853, -0.11
14.857, 0.84
14.946, 0.81
14.954, -0.98
14.955, -1.05
15.050, -0.60
15.052, -0.37
15.057, 0.86
15.146, 0.79
15.155, -0.91
15.156, -1.08
15.257, 0.83
15.346, 0.85
15.354, -0.77
15.355, -1.07
15.450, -0.61
15.452, -0.37
15.457, 0.82
15.546, 0.78
15.552, -0.35
15.552, -0.40
15.657, 0.82
15.746, 0.88
15.751, -0.18
15.756, -1.12
15.852, -0.22
15.852, -0.10
15.857, 0.84
15.946, 0.84
15.954, -0.84
15.954, -0.89
16.057, 0.85
16.146, 0.84
16.250, -0.62
16.252, -0.35
16.257, 0.83
16.346, 0.89
16.353, -0.83
16.355, -1.09
16.457, 0.85
16.546, 0.77
16.658, 0.87
16.746, 0.82
16.751, -0.20
16.754, -0.73
16.754, -0.87
16.756, -1.12
16.857, 0.85
16.946, 0.83
16.953, -0.60
16.954, -1.08
17.052, -0.30
17.052, -0.19
17.057, 0.79
17.146, 0.85
17.154, -0.84
17.156, -1.11
17.250, -0.54
17.251, -0.37
17.258, 0.86
17.346, 0.82
17.451, -0.45
17.453, -0.07
17.457, 0.80
17.546, 0.81
17.650, -0.54
17.653, -0.11
17.657, 0.85
17.746, 0.83
17.752, -0.44
17.754, -0.80
17.857, 0.82
17.946, 0.83
17.951, -0.23
17.952, -0.45
17.954, -0.81
17.954, -0.95
18.058, 0.94
18.146, 0.89
18.151, -0.18
18.153, -0.81
18.155, -1.01
18.156, -1.08
18.250, -0.52
18.252, -0.17
18.258, 0.91
18.346, 0.88
18.353, -0.47
18.356, -1.09
18.450, -0.59
18.452, -0.30
18.457, 0.85
18.546, 0.92
18.551, -0.19
