time (sec), current (uA)
0.063, -0.90
0.140, 0.39
0.263, 1.00
0.340, 2.20
0.463, -0.20
0.540, -5.08
0.663, -1.98
0.740, -3.93
0.863, -0.13
0.940, -0.19
1.063, -4.46
1.140, 0.61
1.263, 1.68
1.340, -1.84
1.463, -2.37
1.540, -4.20
1.663, 2.08
1.740, 0.91
1.863, -3.25
1.940, -4.79
2.063, -2.51
2.140, -3.18
2.263, -2.75
2.340, -3.57
2.463, 1.39
2.540, -3.23
2.663, -3.55
2.740, -3.49
2.863, -1.11
2.940, 1.29
3.063, 0.36
3.140, -3.91
3.263, -2.60
3.340, -3.16
3.463, -3.22
3.540, -0.55
3.663, 2.52
3.740, -2.56
3.863, 15.79
3.940, 15.57
4.063, 39.09
4.140, 34.79
4.263, 32.12
4.340, 39.91
4.463, 40.14
4.540, 32.73
4.663, 34.85
4.740, 31.20
4.863, 33.99
4.940, 40.37
5.063, 37.45
5.140, 38.30
5.263, 38.82
5.340, 36.05
5.463, 39.12
5.540, 40.03
5.663, 35.31
5.740, 33.85
5.863, 36.19
5.940, 38.06
6.063, 41.54
6.140, 38.79
6.263, 36.57
6.340, 43.39
6.463, 38.79
6.540, 42.66
6.663, 40.86
6.740, 37.63
6.863, 37.09
6.940, 36.92
7.063, 39.25
7.140, 40.53
7.263, 39.97
7.340, 38.02
7.463, 34.48
7.540, 39.59
7.663, 42.76
7.740, 39.95
7.863, 37.04
7.940, 38.99
8.063, 41.51
8.140, 39.43
8.263, 35.31
8.340, 36.33
8.463, 42.07
8.540, 34.23
8.663, 40.32
8.740, 37.76
8.863, 39.20
8.940, 42.55
9.063, 35.37
9.140, 43.86
9.263, 39.47
9.340, 41.91
9.463, 39.14
9.540, 38.40
9.663, 36.81
9.740, 37.77
9.863, 35.94
9.940, 41.44
10.063, 41.59
10.140, 43.99
10.263, 36.38
10.340, 38.55
10.463, 38.14
10.540, 38.96
10.663, 38.02
10.740, 36.25
10.863, 39.84
10.940, 38.29
11.063, 45.24
11.140, 42.96
11.263, 42.75
11.340, 36.72
11.463, 40.07
11.540, 36.65
11.663, 38.91
11.740, 38.77
11.863, 40.79
11.940, 39.46
12.063, 43.75
12.140, 38.06
12.263, 43.70
12.340, 37.90
12.463, 37.26
12.540, 41.59
12.663, 38.50
12.740, 36.49
12.863, 38.43
12.940, 42.73
13.063, 39.69
13.140, 36.73
13.263, 37.26
13.340, 43.66
13.463, 46.31
13.540, 36.34
13.663, 46.93
13.740, 39.54
13.863, 40.75
13.940, 39.55
14.063, 41.06
14.140, 42.74
14.263, 38.97
14.340, 37.40
14.463, 35.35
14.540, 40.46
14.663, 41.56
14.740, 39.34
14.863, 41.99
14.940, 39.93
15.063, 42.87
15.140, 36.77
15.263, 41.36
15.340, 39.41
15.463, 37.51
15.540, 38.59
15.663, 42.01
15.740, 42.15
15.863, 39.99
15.940, 41.22
16.063, 36.12
16.140, 42.80
16.263, 40.94
16.340, 38.36
16.463, 37.18
16.540, 38.53
16.663, 41.72
16.740, 38.10
16.863, 36.85
16.940, 42.53
17.063, 42.15
17.140, 40.76
17.263, 43.57
17.340, 38.57
17.463, 38.51
17.540, 42.49
17.663, 42.51
17.740, 40.46
17.863, 42.26
17.940, 40.23
18.063, 42.50
18.140, 44.87
18.263, 37.93
18.340, 37.54
18.463, 38.30
18.540, 36.46
18.663, 37.80
18.740, 38.84
18.863, 42.15
18.940, 43.60
19.063, 43.53
19.140, 44.87
19.263, 44.65
19.340, 37.45
19.463, 39.65
19.540, 41.04
19.663, 36.77
19.740, 36.25
19.863, 38.56
19.940, 37.47
20.063, 40.42
20.140, 41.84
20.263, 42.08
20.340, 42.26
20.463, 39.30
20.540, 40.03
20.663, 36.90
20.740, 41.18
20.863, 41.21
20.940, 44.58
21.063, 39.30
21.140, 37.88
21.263, 43.68
21.340, 36.42
21.463, 43.74
21.540, 34.81
21.663, 38.27
21.740, 42.44
21.863, 38.04
21.940, 43.86
22.063, 36.76
22.140, 43.37
22.263, 38.49
22.340, 41.07
22.463, 43.04
22.540, 37.03
22.663, 40.14
22.740, 42.48
22.863, 44.38
22.940, 43.60
23.063, 41.83
23.140, 39.12
23.263, 43.67
23.340, 48.58
23.463, 37.61
23.540, 37.68
23.663, 37.95
23.740, 49.06
23.863, 42.59
23.940, 45.80
24.063, 40.81
24.140, 49.59
24.263, 35.27
24.340, 39.78
24.463, 37.48
24.540, 43.60
24.663, 43.70
24.740, 51.27
24.863, 41.46
24.940, 36.84
25.063, 40.86
25.140, 44.63
25.263, 39.57
25.340, 39.90
25.463, 43.21
25.540, 46.14
25.663, 38.45
25.740, 44.05
25.863, 44.47
25.940, 43.16
26.063, 43.16
26.140, 45.04
26.263, 41.69
26.340, 44.57
26.463, 43.22
26.540, 39.47
26.663, 41.12
26.740, 40.00
26.863, 46.95
26.940, 41.27
27.063, 36.82
27.140, 43.05
27.263, 44.25
27.340, 39.55
27.463, 42.67
27.540, 35.60
27.663, 43.90
27.740, 43.05
27.863, 44.89
27.940, 39.10
28.063, 38.75
28.140, 39.00
28.263, 42.27
28.340, 38.01
28.463, 46.11
28.540, 38.84
28.663, 44.57
28.740, 46.15
28.863, 44.24
28.940, 44.06
29.063, 41.49
29.140, 41.43
29.263, 41.35
29.340, 40.56
29.463, 43.43
29.540, 40.99
29.663, 38.10
29.740, 36.86
29.863, 42.25
29.940, 43.56
30.063, 44.40
30.140, 43.87
30.263, 42.02
30.340, 43.13
30.463, 41.44
30.540, 38.45
30.663, 42.31
30.740, 45.51
30.863, 41.56
30.940, 42.82
31.063, 43.46
31.140, 39.17
31.263, 40.11
31.340, 43.49
31.463, 42.92
31.540, 36.14
31.663, 42.16
31.740, 38.27
31.863, 39.84
31.940, 41.83
32.063, 39.35
32.140, 41.48
32.263, 44.96
32.340, 40.82
32.463, 43.46
32.540, 39.55
32.663, 43.43
32.740, 39.74
32.863, 38.79
32.940, 45.76
33.063, 40.02
33.140, 43.39
33.263, 42.18
33.340, 37.61
33.463, 41.39
33.540, 41.66
33.663, 40.74
33.740, 40.96
33.863, 42.72
33.940, 37.87
