time (sec), voltage (V)
0.153, -0.49
0.155, -1.07
0.354, -0.99
0.356, -1.12
0.451, -0.61
0.452, -0.34
0.649, -0.74
0.652, -0.36
0.852, -0.37
0.853, -0.12
0.951, -0.23
0.954, -1.00
1.049, -0.73
1.051, -0.58
1.154, -1.00
1.154, -1.05
1.249, -0.71
1.251, -0.43
1.351, -0.17
1.352, -0.42
1.354, -0.92
1.356, -1.12
1.452, -0.35
1.453, -0.09
1.555, -0.93
1.556, -1.08
1.649, -0.77
1.652, -0.36
1.755, -0.98
1.756, -1.11
1.849, -0.80
1.851, -0.52
1.852, -0.30
1.853, -0.08
1.951, -0.18
1.956, -1.13
2.151, -0.17
2.155, -1.03
2.249, -0.70
2.250, -0.52
2.351, -0.21
2.353, -0.73
2.355, -0.98
2.356, -1.13
2.551, -0.20
2.555, -0.94
2.752, -0.22
2.752, -0.35
2.755, -0.89
2.756, -1.12
2.951, -0.18
2.954, -0.93
3.049, -0.79
3.051, -0.49
3.153, -0.64
3.155, -1.07
3.249, -0.74
3.252, -0.24
3.352, -0.44
3.355, -1.07
3.449, -0.78
3.451, -0.57
3.551, -0.20
3.552, -0.39
3.649, -0.81
3.651, -0.56
3.752, -0.45
3.753, -0.73
3.850, -0.50
3.851, -0.33
3.869, 3.17
3.872, 3.65
3.874, 4.07
3.937, 2.55
3.952, -0.38
3.954, -0.79
4.049, -0.74
4.050, -0.59
4.059, 1.07
4.145, 1.08
4.152, -0.36
4.154, -0.72
4.155, -0.93
4.156, -1.11
4.250, -0.52
4.252, -0.15
4.260, 1.35
4.343, 1.46
4.452, -0.31
4.452, -0.15
4.460, 1.38
4.543, 1.45
4.553, -0.48
4.554, -0.82
4.659, 1.22
4.744, 1.26
4.752, -0.23
4.754, -0.89
4.850, -0.56
4.850, -0.53
4.852, -0.29
4.852, -0.14
4.859, 1.14
4.944, 1.17
4.952, -0.47
4.956, -1.15
5.052, -0.30
5.053, -0.13
5.060, 1.33
5.144, 1.31
5.152, -0.31
5.155, -1.00
5.259, 1.16
5.259, 1.20
5.260, 1.46
5.344, 1.31
5.449, -0.73
5.449, -0.73
5.450, -0.54
5.453, -0.12
5.460, 1.27
5.544, 1.29
5.553, -0.74
5.555, -1.04
5.650, -0.59
5.652, -0.14
5.660, 1.31
5.744, 1.31
5.752, -0.45
5.754, -0.79
5.755, -0.92
5.756, -1.12
5.859, 1.20
5.943, 1.40
5.951, -0.20
5.953, -0.70
6.049, -0.74
6.051, -0.56
6.052, -0.28
6.052, -0.20
