time (sec), current (uA)
0.094, -3.23
0.109, -1.66
0.294, -2.98
0.309, -2.06
0.494, -4.00
0.509, -0.13
0.694, -2.26
0.709, 2.27
0.894, -1.93
0.909, -1.00
1.094, 0.92
1.109, 0.34
1.294, 0.84
1.309, -1.26
1.494, -0.74
1.509, 0.28
1.694, -5.44
1.709, -3.52
1.894, -0.79
1.909, 0.04
2.094, -2.85
2.109, -1.96
2.294, -0.14
2.309, -2.47
2.494, 1.01
2.509, -2.71
2.694, -1.80
2.709, 0.86
2.894, -2.30
2.909, -3.00
3.094, 3.82
3.109, -0.68
3.294, -1.29
3.309, -3.70
3.494, -1.15
3.509, 1.21
3.694, 3.97
3.709, -0.66
3.894, 0.33
3.909, -2.20
4.094, -0.11
4.109, -2.17
4.294, 0.14
4.309, -2.15
4.494, -3.61
4.509, 0.48
4.694, -3.27
4.709, -2.73
4.894, 1.25
4.909, 0.41
5.094, -5.17
5.109, -1.79
5.294, 1.13
5.309, -1.74
5.494, -4.55
5.509, -0.99
5.694, -1.35
5.709, -2.38
5.894, -0.78
5.909, -0.74
6.094, -0.62
6.109, 6.43
6.294, 91.17
6.309, 101.07
6.494, 119.22
6.509, 142.95
6.694, 93.68
6.709, 86.37
6.894, 90.40
6.909, 95.04
7.094, 90.89
7.109, 92.45
7.294, 91.93
7.309, 97.39
7.494, 92.40
7.509, 95.52
7.694, 92.98
7.709, 97.99
7.894, 96.03
7.909, 93.92
8.094, 101.70
8.109, 99.17
8.294, 96.68
8.309, 94.91
8.494, 94.20
8.509, 95.02
8.694, 98.33
8.709, 98.01
8.894, 94.54
8.909, 94.62
9.094, 93.10
9.109, 97.75
9.294, 101.36
9.309, 92.19
9.494, 97.10
9.509, 95.69
9.694, 98.39
9.709, 95.52
9.894, 99.25
9.909, 100.09
10.094, 94.89
10.109, 98.77
10.294, 94.94
10.309, 99.19
10.494, 94.08
10.509, 96.53
10.694, 100.02
10.709, 98.65
10.894, 94.01
10.909, 89.77
11.094, 102.82
11.109, 97.93
11.294, 95.64
11.309, 96.69
11.494, 92.78
11.509, 98.47
11.694, 97.14
11.709, 96.31
11.894, 87.15
11.909, 100.07
12.094, 101.77
12.109, 94.44
12.294, 95.49
12.309, 100.95
12.494, 96.56
12.509, 97.12
12.694, 96.14
12.709, 101.05
12.894, 91.88
12.909, 97.50
13.094, 93.44
13.109, 96.27
13.294, 94.41
13.309, 95.51
13.494, 101.20
13.509, 101.54
13.694, 96.70
13.709, 97.12
13.894, 100.18
13.909, 98.13
14.094, 94.24
14.109, 98.51
14.294, 98.31
14.309, 97.62
14.494, 100.00
14.509, 99.98
