time (sec), voltage (V)
0.050, -0.67
0.050, -0.60
0.249, -0.85
0.252, -0.19
0.355, -1.02
0.355, -1.09
0.452, -0.30
0.452, -0.24
0.553, -0.79
0.555, -0.98
0.650, -0.64
0.652, -0.32
0.752, -0.45
0.756, -1.11
0.850, -0.60
0.852, -0.25
0.952, -0.41
0.956, -1.10
1.049, -0.79
1.052, -0.36
1.152, -0.22
1.153, -0.74
1.155, -0.93
1.156, -1.07
1.249, -0.81
1.251, -0.62
1.353, -0.55
1.355, -0.93
1.449, -0.85
1.451, -0.70
1.452, -0.30
1.452, -0.21
1.552, -0.48
1.556, -1.12
1.849, -0.74
1.851, -0.64
1.852, -0.42
1.853, -0.12
1.951, -0.19
1.953, -0.48
1.955, -0.93
1.956, -1.10
2.049, -0.72
2.050, -0.57
2.051, -0.36
2.053, -0.10
2.152, -0.38
2.152, -0.41
2.251, -0.53
2.251, -0.49
2.353, -0.62
2.356, -1.08
2.554, -0.69
2.554, -0.87
2.650, -0.68
2.650, -0.54
2.753, -0.65
2.755, -1.00
2.851, -0.57
2.853, -0.12
3.153, -0.56
3.153, -0.71
3.252, -0.33
3.252, -0.27
3.351, -0.24
3.356, -1.11
3.449, -0.81
3.451, -0.65
3.552, -0.45
3.553, -0.82
3.649, -0.79
3.651, -0.41
3.753, -0.65
3.756, -1.13
3.951, -0.19
3.952, -0.46
3.954, -0.76
3.954, -0.84
4.052, -0.32
4.053, -0.09
4.152, -0.38
4.153, -0.70
4.155, -0.97
4.156, -1.13
4.252, -0.27
4.252, -0.22
4.552, -0.41
4.554, -0.82
4.649, -0.73
4.651, -0.53
4.751, -0.18
4.753, -0.62
4.755, -0.96
4.755, -1.05
4.851, -0.45
4.853, -0.10
5.154, -0.76
5.156, -1.11
5.249, -0.79
5.251, -0.48
5.353, -0.67
5.356, -1.11
5.449, -0.79
5.452, -0.42
5.650, -0.72
5.650, -0.62
5.751, -0.17
5.752, -0.42
5.753, -0.69
5.755, -1.01
5.951, -0.22
5.954, -0.77
5.954, -0.88
5.956, -1.12
6.052, -0.28
6.052, -0.14
6.153, -0.62
6.154, -0.95
6.352, -0.36
6.354, -0.69
6.451, -0.68
6.452, -0.31
6.555, -0.90
6.556, -1.12
6.650, -0.53
6.652, -0.32
6.753, -0.70
6.755, -1.02
