time (sec), current (uA)
0.000, -8.11
0.063, 9.29
0.140, -2.29
0.263, -0.79
0.340, -5.68
0.463, -3.72
0.540, -0.94
0.663, 1.28
0.740, 0.30
0.863, -0.39
0.940, -4.63
1.063, -2.17
1.140, -2.17
1.263, -3.28
1.340, 1.61
1.463, 3.11
1.540, -2.25
1.663, 3.43
1.740, -2.31
1.863, -3.65
1.940, 2.62
2.063, -3.16
2.140, 0.03
2.263, -0.05
2.340, -0.15
2.463, -4.35
2.540, -0.58
2.663, -2.42
2.740, -3.46
2.863, -0.98
2.940, 0.98
3.063, -2.03
3.140, -3.10
3.263, 1.68
3.340, -0.24
3.463, -0.48
3.540, 0.96
3.663, -1.64
3.740, -2.99
3.863, -3.76
3.940, 3.54
4.063, -2.20
4.140, -2.16
4.263, -1.04
4.340, 0.51
4.463, -2.98
4.540, 3.49
4.663, -2.81
4.740, 0.83
4.863, -2.20
4.940, -2.38
5.063, -3.32
5.140, 1.13
5.263, 2.60
5.340, -3.44
5.463, -0.16
5.540, 1.42
5.663, 3.32
5.740, 2.53
5.863, -3.02
5.940, -0.75
6.063, 1.14
6.140, -1.64
6.263, -3.25
6.340, -2.83
6.463, 0.36
6.540, -4.14
6.663, -0.88
6.740, 1.46
