time (sec), voltage (V)
0.050, -0.73
0.050, -0.70
0.052, -0.37
0.053, -0.13
0.151, -0.18
0.153, -0.54
0.153, -0.80
0.156, -1.12
0.249, -0.84
0.251, -0.53
0.355, -0.98
0.356, -1.14
0.551, -0.20
0.554, -0.86
0.555, -0.99
0.555, -1.10
0.652, -0.31
0.652, -0.17
0.751, -0.20
0.753, -0.46
0.755, -0.94
0.756, -1.14
0.852, -0.31
0.853, -0.14
0.952, -0.21
0.953, -0.58
0.954, -0.95
0.956, -1.14
1.049, -0.77
1.050, -0.61
1.154, -0.89
1.156, -1.14
1.249, -0.83
1.251, -0.35
1.351, -0.18
1.352, -0.43
1.353, -0.70
1.355, -1.07
1.450, -0.54
1.452, -0.35
1.551, -0.20
1.552, -0.37
1.554, -0.68
1.555, -1.16
1.652, -0.34
1.653, -0.13
1.752, -0.47
1.754, -0.73
1.755, -0.99
1.756, -1.17
1.849, -0.73
1.851, -0.38
1.952, -0.44
1.953, -0.72
2.049, -0.85
2.052, -0.34
2.154, -0.72
2.155, -1.14
2.252, -0.38
2.253, -0.10
2.352, -0.22
2.352, -0.35
2.657, 0.79
2.670, 3.42
2.857, 0.80
2.870, 3.31
3.058, 0.91
3.070, 3.43
3.258, 0.98
3.270, 3.38
3.457, 0.73
3.457, 0.85
3.458, 1.01
3.470, 3.40
3.657, 0.86
3.670, 3.32
3.857, 0.77
3.859, 1.12
3.859, 1.18
3.870, 3.29
4.057, 0.70
4.058, 0.93
4.058, 1.01
4.070, 3.31
4.255, 0.34
4.255, 0.43
4.257, 0.71
4.258, 0.89
4.258, 1.03
4.270, 3.33
4.458, 0.88
4.470, 3.30
4.657, 0.71
4.658, 0.92
4.658, 0.99
4.670, 3.32
4.857, 0.84
4.870, 3.35
5.056, 0.53
5.057, 0.68
5.058, 0.87
5.070, 3.30
5.256, 0.53
5.256, 0.66
5.257, 0.86
5.270, 3.34
5.455, 0.46
5.458, 0.90
5.458, 0.99
5.470, 3.32
5.658, 1.01
5.670, 3.34
6.052, -0.35
6.053, -0.15
6.152, -0.39
6.153, -0.75
6.155, -0.96
6.156, -1.15
6.250, -0.58
6.252, -0.37
6.351, -0.23
6.353, -0.69
6.356, -1.14
6.356, -1.16
6.449, -0.79
6.451, -0.59
6.552, -0.40
6.554, -0.84
6.649, -0.84
6.651, -0.69
6.751, -0.20
6.753, -0.78
6.755, -0.94
6.756, -1.11
6.849, -0.72
6.851, -0.54
6.951, -0.23
6.952, -0.46
7.049, -0.82
7.052, -0.16
7.152, -0.44
7.153, -0.87
7.352, -0.45
7.354, -0.92
7.449, -0.76
7.453, -0.11
7.552, -0.45
7.554, -0.89
7.651, -0.39
7.653, -0.12
7.752, -0.35
7.752, -0.40
7.753, -0.64
7.755, -1.01
7.954, -0.93
7.956, -1.10
8.049, -0.84
8.052, -0.33
8.152, -0.22
8.152, -0.33
8.154, -0.74
8.156, -1.17
8.250, -0.81
8.252, -0.17
8.351, -0.21
8.353, -0.70
8.551, -0.22
8.552, -0.49
8.652, -0.31
8.653, -0.11
8.752, -0.28
8.754, -0.69
8.755, -0.88
8.756, -1.10
8.850, -0.59
8.852, -0.21
8.952, -0.41
8.953, -0.77
9.051, -0.53
9.052, -0.34
9.249, -0.73
9.252, -0.21
9.352, -0.46
9.354, -0.74
9.355, -0.96
9.356, -1.16
9.552, -0.51
9.555, -0.98
9.652, -0.40
9.653, -0.11
