time (sec), current (uA)
0.000, -1.58
0.063, 2.28
0.140, -1.88
0.263, 1.09
0.340, 0.21
0.463, -0.12
0.540, 0.92
0.663, -0.87
0.740, 3.32
0.863, -1.84
0.940, 1.34
1.063, 0.98
1.140, -2.12
1.263, 0.37
1.340, -1.46
1.463, 1.62
1.540, 3.34
1.663, -1.49
1.740, 3.22
1.863, 0.52
1.940, -2.98
2.063, 0.33
2.140, -0.76
2.263, -0.93
2.340, -2.01
2.463, 1.40
2.540, 11.94
2.663, 90.68
2.740, 7.99
2.863, 91.96
2.940, 11.12
3.063, 91.96
3.140, 10.13
3.263, 90.33
3.340, 9.42
3.463, 87.69
3.540, 8.30
3.663, 90.71
3.740, 8.28
3.863, 91.91
3.940, 12.28
4.063, 92.73
4.140, 13.23
4.263, 92.15
4.340, 10.68
4.463, 94.88
4.540, 10.60
4.663, 90.38
4.740, 10.53
4.863, 87.88
4.940, 8.11
5.063, 91.19
5.140, 6.40
5.263, 89.35
5.340, 5.05
5.463, 91.52
5.540, 8.78
5.663, 90.20
5.740, 11.40
5.863, -0.67
5.940, -2.23
6.063, 1.62
6.140, -1.24
6.263, -2.85
6.340, 3.84
6.463, 1.93
6.540, 2.43
6.663, 3.56
6.740, 1.42
6.863, 1.62
6.940, 2.40
7.063, 2.13
7.140, 1.59
7.263, 0.12
7.340, -0.28
7.463, -1.79
7.540, 8.18
7.663, 1.43
7.740, -3.96
7.863, 1.18
7.940, -3.80
8.063, 0.27
8.140, 3.21
8.263, -3.05
8.340, -1.61
8.463, -0.96
8.540, 1.90
8.663, 1.81
8.740, -2.26
8.863, -0.20
8.940, 5.28
9.063, -3.46
9.140, 1.00
9.263, -1.63
9.340, 4.28
9.463, 0.60
9.540, 6.60
9.663, 2.31
