time (sec), voltage (V)
0.154, -0.86
0.156, -1.11
0.250, -0.58
0.251, -0.37
0.352, -0.37
0.354, -0.99
0.450, -0.58
0.452, -0.34
0.753, -0.40
0.753, -0.65
0.755, -1.05
0.756, -1.16
0.952, -0.37
0.952, -0.40
1.152, -0.39
1.156, -1.13
1.351, -0.21
1.353, -0.61
1.452, -0.36
1.453, -0.10
1.651, -0.63
1.652, -0.17
1.752, -0.53
1.754, -0.92
1.952, -0.34
1.954, -0.86
2.050, -0.54
2.052, -0.36
2.153, -0.44
2.153, -0.57
2.155, -0.98
2.156, -1.14
2.250, -0.58
2.251, -0.37
2.352, -0.45
2.356, -1.12
2.552, -0.44
2.554, -0.80
2.649, -0.83
2.651, -0.52
2.755, -0.93
2.756, -1.12
2.952, -0.35
2.955, -1.04
3.152, -0.30
3.154, -0.64
3.155, -0.86
3.156, -1.08
3.351, -0.20
3.352, -0.46
3.449, -0.83
3.451, -0.40
3.552, -0.44
3.555, -1.07
3.650, -0.79
3.653, -0.12
3.753, -0.47
3.754, -0.74
3.851, -0.62
3.852, -0.36
3.952, -0.39
3.954, -0.74
3.955, -0.99
3.956, -1.15
4.050, -0.58
4.053, -0.11
4.152, -0.38
4.154, -0.67
4.250, -0.72
4.250, -0.62
4.352, -0.44
4.354, -0.71
4.449, -0.81
4.451, -0.63
4.551, -0.18
4.553, -0.78
4.555, -0.99
4.556, -1.10
4.649, -0.82
4.651, -0.52
4.652, -0.34
4.653, -0.11
4.752, -0.36
4.755, -1.06
4.859, 1.22
4.946, 0.81
4.952, -0.37
4.954, -0.76
5.058, 0.87
5.146, 0.81
5.151, -0.19
5.152, -0.40
5.250, -0.64
5.252, -0.27
5.257, 0.85
5.346, 0.79
5.352, -0.42
5.354, -0.66
5.452, -0.32
5.452, -0.15
5.458, 0.94
5.546, 0.94
5.551, -0.25
5.554, -0.72
5.555, -0.91
5.556, -1.09
5.658, 0.91
5.746, 0.80
5.751, -0.19
5.753, -0.65
5.851, -0.37
5.852, -0.17
5.858, 0.87
5.945, 0.97
5.951, -0.19
5.952, -0.46
6.050, -0.59
6.052, -0.36
6.058, 0.94
6.146, 0.80
6.151, -0.18
6.154, -0.73
6.155, -0.97
6.156, -1.13
6.250, -0.56
6.252, -0.33
6.258, 0.89
6.346, 0.85
6.352, -0.40
6.354, -0.86
6.458, 0.90
6.546, 0.85
6.650, -0.58
6.652, -0.35
6.658, 0.92
6.745, 1.00
6.752, -0.46
6.755, -1.01
6.850, -0.59
6.851, -0.39
6.858, 1.01
6.946, 0.87
6.952, -0.50
6.954, -0.93
7.050, -0.55
7.052, -0.18
7.058, 0.98
7.145, 0.98
7.151, -0.21
7.156, -1.11
7.250, -0.59
7.252, -0.31
7.258, 1.04
7.345, 0.95
7.351, -0.24
7.353, -0.59
7.458, 1.03
7.545, 1.02
7.551, -0.23
7.556, -1.07
7.652, -0.23
7.652, -0.17
7.658, 0.95
7.746, 0.83
7.753, -0.87
7.755, -1.06
7.858, 0.98
7.945, 0.98
7.951, -0.20
7.955, -1.09
8.058, 1.00
8.145, 1.01
8.151, -0.22
8.153, -0.54
8.258, 0.98
8.345, 0.99
8.458, 0.97
8.546, 0.86
8.551, -0.21
8.552, -0.47
8.553, -0.82
8.555, -1.03
8.651, -0.44
8.651, -0.39
8.658, 0.99
8.745, 1.06
8.751, -0.25
8.753, -0.62
8.850, -0.62
8.852, -0.17
8.858, 1.04
8.945, 1.06
9.047, -1.19
9.047, -1.14
9.058, 1.05
9.145, 0.97
9.151, -0.17
