time (sec), current (uA)
0.063, -3.84
0.140, 2.68
0.263, 1.29
0.340, -4.09
0.463, -0.39
0.540, 1.60
0.663, -1.59
0.740, -0.24
0.863, 3.50
0.940, -0.54
1.063, 5.49
1.140, -3.22
1.263, 1.47
1.340, 3.54
1.463, -1.88
1.540, -3.19
1.663, -0.22
1.740, -4.45
1.863, 1.79
1.940, -0.23
2.063, 0.43
2.140, 1.37
2.263, 3.34
2.340, 1.24
2.463, 8.07
2.540, 0.71
2.663, 1.11
2.740, 2.63
2.863, 1.69
2.940, -2.29
3.063, 1.92
3.140, -0.12
3.263, 2.39
3.340, -0.44
3.463, 0.41
3.540, -2.89
3.663, 2.99
3.740, 1.47
3.863, 7.89
3.940, -1.37
4.063, -2.07
4.140, 0.68
4.263, -3.17
4.340, -0.43
4.463, 4.47
4.540, -3.17
4.663, 2.03
4.740, -0.52
4.863, 50.61
4.940, 68.14
5.063, 68.22
5.140, 76.17
5.263, 72.42
5.340, 65.84
5.463, 64.33
5.540, 68.50
5.663, 63.72
5.740, 62.75
5.863, 65.41
5.940, 67.17
6.063, 66.35
6.140, 66.69
6.263, 68.19
6.340, 67.29
6.463, 67.96
6.540, 64.26
6.663, 66.99
6.740, 62.21
6.863, 63.68
6.940, 59.36
7.063, 62.78
7.140, 62.36
7.263, 61.50
7.340, 65.82
7.463, 61.16
7.540, 64.50
7.663, 68.72
7.740, 59.34
7.863, 65.94
7.940, 61.17
8.063, 61.21
8.140, 68.12
8.263, 68.63
8.340, 64.71
8.463, 63.45
8.540, 61.39
8.663, 67.36
8.740, 64.24
8.863, 67.33
8.940, 62.02
9.063, 68.56
9.140, 67.16
9.263, 72.29
9.340, 61.98
9.463, 63.94
9.540, 65.12
9.663, 63.26
9.740, 61.99
9.863, 61.06
9.940, 67.70
10.063, 64.19
10.140, 61.24
10.263, 63.76
10.340, 63.83
10.463, 64.64
10.540, 60.99
10.663, 66.38
10.740, 69.71
10.863, 69.81
10.940, 66.44
11.063, 68.27
11.140, 62.45
11.263, 63.53
11.340, 62.93
11.463, 69.00
11.540, 65.69
11.663, 65.63
11.740, 62.17
11.863, 63.51
11.940, 63.45
12.063, 68.58
12.140, 65.80
12.263, 63.56
12.340, 61.95
12.463, 71.77
12.540, 64.77
12.663, 66.67
12.740, 71.23
12.863, 65.06
12.940, 69.04
13.063, 67.13
13.140, 68.38
13.263, 63.77
13.340, 64.77
13.463, 66.73
13.540, 65.16
13.663, 66.76
13.740, 65.40
13.863, 65.72
13.940, 63.98
14.063, 63.93
14.140, 62.34
14.263, 69.10
14.340, 66.15
14.463, 64.18
14.540, 61.90
14.663, 65.88
14.740, 67.02
14.863, 64.31
14.940, 63.21
15.063, 67.20
15.140, 69.30
15.263, 63.13
15.340, 66.26
15.463, 63.14
15.540, 60.63
15.663, 67.30
15.740, 65.09
15.863, 64.96
15.940, 68.22
16.063, 67.75
16.140, 62.50
16.263, 63.06
16.340, 65.31
16.463, 66.88
16.540, 66.26
16.663, 62.88
16.740, 69.47
16.863, 69.52
16.940, 65.55
17.063, 63.37
17.140, 62.50
17.263, 65.76
17.340, 67.99
17.463, 63.74
17.540, 65.95
17.663, 66.73
17.740, 63.97
17.863, 64.54
17.940, 67.84
18.063, 70.99
18.140, 64.41
18.263, 66.95
18.340, 71.31
18.463, 61.93
18.540, 69.65
18.663, 63.04
18.740, 69.40
18.863, 66.92
18.940, 71.63
19.063, 67.47
19.140, 65.94
19.263, 70.43
19.340, 67.12
19.463, 69.77
19.540, 64.27
19.663, 65.81
19.740, 70.31
19.863, 70.28
19.940, 67.07
20.063, 67.54
20.140, 65.24
